,symbol,cluster
109,AEP,12
153,AGR,12
427,ATO,12
470,AWK,12
649,BKH,12
1016,CHD,12
1086,CL,12
1130,CMS,12
1149,CNP,12
1197,CPB,12
1345,D,12
1541,DTE,12
1555,DUK,12
1566,DVOL,12
1636,ED,12
1700,EIX,12
1796,ES,12
1841,ETR,12
1874,EVRG,12
1908,EXC,12
2112,FLO,12
2256,FTS,12
2297,FXU,12
2395,GIS,12
2723,HSY,12
2843,IDA,12
3136,JHMU,12
3212,JXI,12
3268,KMB,12
3281,KO,12
3444,LNT,12
3647,MKC,12
3924,NI,12
3944,NLR,12
4063,NWE,12
4122,OGE,12
4319,PEG,12
4327,PEP,12
4461,PNW,12
4468,POR,12
4795,RHS,12
4945,RYU,12
5144,SJM,12
5229,SO,12
5318,SRE,12
5822,UPW,12
5865,UTES,12
5874,UTSL,12
6214,XEL,12
6235,XLU,12
