,symbol,cluster
275,AMPY,13
320,APA,13
380,AROC,13
547,BCEI,13
559,BCX,13
658,BKR,13
726,BP,13
761,BRY,13
929,CCLP,13
945,CDEV,13
974,CEO,13
1083,CKH,13
1087,CLB,13
1100,CLNE,13
1103,CLR,13
1150,CNQ,13
1163,COG,13
1180,COP,13
1198,CPE,13
1200,CPG,13
1221,CRC,13
1230,CRK,13
1303,CVE,13
1304,CVEO,13
1311,CVX,13
1328,CXO,13
1440,DIG,13
1458,DK,13
1494,DNR,13
1565,DVN,13
1689,EGY,13
1761,EPM,13
1776,EQNR,13
1780,EQT,13
1785,ERF,13
1794,ERX,13
1827,ESTE,13
1855,EURN,13
1921,EXTN,13
1941,FANG,13
1975,FCG,13
2014,FET,13
2046,FI,13
2054,FILL,13
2107,FLMN,13
2198,FRAK,13
2257,FTSI,13
2264,FTXN,13
2415,GLNG,13
2416,GLOG,13
2417,GLOP,13
2479,GPOR,13
2481,GPRK,13
2524,GTE,13
2541,GUSH,13
2566,HAL,13
2620,HES,13
2630,HFC,13
2663,HLX,13
2691,HP,13
2697,HPR,13
2832,ICD,13
2868,IEO,13
2873,IEZ,13
2885,IGE,13
2931,IMO,13
2975,IO,13
3013,IRR,13
3079,IYE,13
3128,JHME,13
3267,KLXE,13
3294,KOS,13
3351,LBRT,13
3584,MEOH,13
3723,MPC,13
3729,MR,13
3738,MRO,13
3769,MTDR,13
3782,MTRX,13
3843,NANR,13
3877,NE,13
3930,NINE,13
3970,NOG,13
4128,OIH,13
4129,OII,13
4225,OXY,13
4264,PBF,13
4311,PDS,13
4313,PE,13
4326,PEO,13
4385,PHX,13
4536,PSCE,13
4563,PSX,13
4583,PTR,13
4590,PUMP,13
4592,PVAC,13
4606,PXD,13
4609,PXI,13
4610,PXJ,13
4732,RDS-A,13
4745,REI,13
4799,RIG,13
4871,ROSE,13
4889,RRC,13
4939,RYE,13
4983,SBOW,13
5032,SD,13
5042,SDRL,13
5068,SFL,13
5152,SLB,13
5153,SLCA,13
5174,SM,13
5209,SND,13
5236,SOI,13
5392,SU,13
5420,SWN,13
5454,TALO,13
5510,TDW,13
5521,TELL,13
5536,TGA,13
5576,TK,13
5629,TPL,13
5678,TS,13
5699,TTI,13
5711,TUSK,13
5888,VAL,13
5914,VDE,13
5931,VET,13
6001,VNOM,13
6118,WHD,13
6144,WLL,13
6161,WPX,13
6179,WTI,13
6213,XEC,13
6218,XES,13
6245,XOM,13
6248,XOP,13
