,symbol,cluster
42,ACGLO,34
43,ACGLP,34
100,AEB,34
117,AFC,34
120,AFGH,34
364,ARGD,34
613,BHFAL,34
716,BOKFL,34
763,BSA,34
912,CBSHP,34
1049,CHSCL,34
1050,CHSCM,34
1051,CHSCN,34
1052,CHSCO,34
1191,COWNZ,34
1271,CTBB,34
1286,CTV,34
1290,CTZ,34
1386,DDT,34
1524,DRUA,34
1544,DTJ,34
1547,DTQ,34
1551,DTW,34
1552,DTY,34
1556,DUKB,34
1557,DUKH,34
1598,EAB,34
1613,EBAYL,34
1715,ELU,34
1737,ENBA,34
1740,ENO,34
1764,EPRF,34
1809,ESGRO,34
1810,ESGRP,34
1932,EZT,34
2063,FITBI,34
2188,FPE,34
2474,GPJA,34
2578,HBANO,34
2634,HGH,34
2754,HWCPL,34
2991,IPLDP,34
3202,JSM,34
3429,LMHA,34
3430,LMHB,34
3805,MVCD,34
3914,NGHCN,34
4165,OPINI,34
4259,PBB,34
4261,PBCTP,34
4341,PFF,34
4342,PFFD,34
4343,PFFL,34
4344,PFFR,34
4358,PFXF,34
4369,PGX,34
4405,PJH,34
4487,PPX,34
4504,PRH,34
4521,PRS,34
4588,PUK-P,34
4686,QVCD,34
4804,RILYI,34
4946,RZB,34
5238,SOJA,34
5239,SOJB,34
5240,SOJC,34
5468,TBB,34
5481,TCBIL,34
5498,TDA,34
5502,TDE,34
5504,TDI,34
5506,TDJ,34
5558,THGA,34
5884,UZA,34
5885,UZB,34
5988,VLYPO,34
5989,VLYPP,34
6023,VRP,34
6081,WALA,34
6177,WTFCM,34
6311,ZIONN,34
