,symbol,cluster
47,ACIA,7
49,ACIW,7
52,ACMR,7
89,ADSK,7
160,AGYS,7
191,AJRD,7
194,AKAM,7
232,ALRM,7
257,AMD,7
259,AMED,7
284,AMSWA,7
302,ANET,7
304,ANGI,7
336,APPF,7
337,APPN,7
338,APPS,7
387,ARVN,7
412,ASUR,7
416,ATEN,7
432,ATRC,7
438,ATUS,7
440,ATVI,7
444,AUDC,7
457,AVID,7
458,AVLR,7
474,AXGN,7
477,AXNX,7
487,AZN,7
503,BAND,7
515,BB,7
576,BEAT,7
603,BGNE,7
628,BILI,7
651,BKI,7
804,BTAI,7
851,CABO,7
881,CARG,7
910,CBPO,7
932,CCOI,7
942,CDAY,7
947,CDLX,7
966,CELC,7
980,CETV,7
1003,CGEN,7
1022,CHGG,7
1054,CHTR,7
1065,CIEN,7
1124,CMG,7
1146,CNNE,7
1189,COUP,7
1254,CSGP,7
1255,CSGS,7
1278,CTLT,7
1289,CTXS,7
1299,CUTR,7
1306,CVLT,7
1309,CVNA,7
1334,CYBE,7
1396,DELL,7
1481,DMRC,7
1496,DOCU,7
1499,DOMO,7
1511,DPZ,7
1512,DQ,7
1529,DSGX,7
1584,DXCM,7
1595,DZSI,7
1597,EA,7
1609,EASI,7
1612,EBAY,7
1686,EGOV,7
1743,ENPH,7
1750,ENV,7
1757,EPAY,7
1826,ESTC,7
1863,EVER,7
1872,EVOP,7
1877,EVTC,7
1907,EXAS,7
1913,EXLS,7
1919,EXPO,7
1942,FANH,7
1951,FB,7
2049,FICO,7
2070,FIVN,7
2207,FRHC,7
2213,FRPT,7
2243,FTCH,7
2254,FTNT,7
2284,FWONK,7
2340,GDDY,7
2345,GDOT,7
2347,GDS,7
2393,GILT,7
2403,GKOS,7
2412,GLIBA,7
2501,GRUB,7
2551,GWRE,7
2615,HEI,7
2658,HLI,7
2661,HLNE,7
2670,HMSY,7
2721,HSTM,7
2739,HUBS,7
2750,HUYA,7
2780,IAC,7
2920,ILMN,7
2960,INS,7
2980,IOTS,7
2989,IPHI,7
3009,IRDM,7
3106,JCOM,7
3161,JKS,7
3183,JPHF,7
3242,KEM,7
3254,KIDS,7
3303,KRNT,7
3349,LBRDA,7
3350,LBRDK,7
3402,LHCG,7
3424,LLNW,7
3452,LOGM,7
3454,LOPE,7
3459,LPG,7
3462,LPSN,7
3475,LSCC,7
3487,LUNA,7
3500,LYV,7
3509,MANH,7
3510,MANT,7
3583,MELI,7
3652,MKTX,7
3691,MNOV,7
3700,MOBL,7
3709,MOR,7
3711,MORN,7
3732,MRCY,7
3756,MSTR,7
3766,MTCH,7
3776,MTLS,7
3777,MTN,7
3814,MX,7
3883,NEO,7
3897,NEWR,7
3902,NEXT,7
3925,NICE,7
3952,NMIH,7
3978,NOW,7
3985,NPTN,7
4004,NSP,7
4006,NSSC,7
4016,NTGR,7
4046,NUVA,7
4054,NVO,7
4133,OKTA,7
4194,OSIS,7
4197,OSPN,7
4238,PAGS,7
4239,PAHC,7
4246,PANW,7
4248,PAR,7
4296,PCTY,7
4298,PCYO,7
4302,PDD,7
4320,PEGA,7
4324,PEN,7
4330,PETQ,7
4388,PI,7
4418,PLAN,7
4464,PODD,7
4500,PRFT,7
4502,PRGS,7
4513,PRO,7
4522,PRSP,7
4531,PS,7
4545,PSJ,7
4558,PSTG,7
4603,PWS,7
4626,QADA,7
4642,QGEN,7
4647,QIWI,7
4656,QLYS,7
4661,QNST,7
4675,QTRX,7
4677,QTT,7
4679,QTWO,7
4717,RCM,7
4736,RDWR,7
4837,RMNI,7
4845,RNG,7
4862,ROKU,7
4876,RP,7
4880,RPD,7
4902,RUBI,7
4905,RUN,7
4953,SAFE,7
5028,SCWX,7
5047,SE,7
5067,SFIX,7
5091,SHAK,7
5100,SHOP,7
5101,SHSP,7
5109,SIBN,7
5126,SIMO,7
5130,SIRI,7
5162,SLP,7
5175,SMAR,7
5214,SNE,7
5274,SPLK,7
5282,SPNS,7
5284,SPOT,7
5290,SPSC,7
5306,SQ,7
5317,SRDX,7
5340,SSNC,7
5348,SSTI,7
5353,STAA,7
5379,STRA,7
5408,SVMK,7
5413,SWCH,7
5414,SWI,7
5496,TCX,7
5507,TDOC,7
5512,TEAM,7
5514,TECH,7
5523,TENB,7
5588,TLND,7
5608,TNAV,7
5609,TNDM,7
5610,TNET,7
5641,TREE,7
5644,TRHC,7
5670,TRUP,7
5687,TSLA,7
5696,TTEC,7
5698,TTGT,7
5706,TTWO,7
5719,TWLO,7
5725,TWOU,7
5727,TWTR,7
5735,TYL,7
5792,UI,7
5919,VEEV,7
5943,VG,7
5953,VHC,7
5956,VIAV,7
5958,VICR,7
5994,VMW,7
6021,VRNS,7
6022,VRNT,7
6027,VRSN,7
6030,VRTU,7
6037,VSLR,7
6076,W,7
6098,WDAY,7
6111,WEX,7
6132,WING,7
6146,WMGI,7
6151,WNS,7
6195,WWE,7
6216,XENT,7
6277,YELP,7
6286,YNDX,7
6296,Z,7
6298,ZBRA,7
6304,ZEN,7
6316,ZIXI,7
6325,ZS,7
6330,ZUO,7
