,symbol,cluster
3,AAL,32
7,AAOI,32
8,AAON,32
13,AAWW,32
23,ABG,32
25,ABM,32
37,ACCO,32
50,ACLS,32
51,ACM,32
76,ADI,32
78,ADM,32
83,ADNT,32
88,ADS,32
104,AEGN,32
135,AGCO,32
178,AIMC,32
182,AIR,32
186,AIT,32
204,AL,32
208,ALB,32
221,ALK,32
224,ALLE,32
236,ALSN,32
248,AMAT,32
249,AMBA,32
258,AME,32
261,AMG,32
267,AMKR,32
318,AOS,32
321,APAM,32
334,APOG,32
342,APTV,32
355,ARCB,32
388,ARW,32
397,ASGN,32
398,ASH,32
402,ASIX,32
411,ASTE,32
420,ATI,32
436,ATSG,32
462,AVT,32
466,AVY,32
481,AXTA,32
492,AZZ,32
493,B,32
494,BA,32
542,BC,32
552,BCO,32
554,BCOR,32
556,BCPC,32
561,BDC,32
580,BEN,32
582,BERY,32
597,BG,32
599,BGG,32
612,BHE,32
666,BLBD,32
687,BMI,32
743,BRC,32
751,BRKS,32
779,BSIG,32
824,BWA,32
830,BWXT,32
839,BYD,32
861,CAI,32
872,CAMT,32
891,CAT,32
913,CBT,32
916,CC,32
928,CCL,32
930,CCMP,32
957,CE,32
973,CENX,32
984,CEVA,32
986,CF,32
997,CFX,32
999,CG,32
1017,CHDN,32
1047,CHRW,32
1077,CIR,32
1094,CLF,32
1115,CMC,32
1118,CMCO,32
1125,CMI,32
1133,CMTL,32
1137,CNDT,32
1141,CNHI,32
1165,COHR,32
1166,COHU,32
1174,COMM,32
1190,COWN,32
1194,CPA,32
1218,CR,32
1223,CREE,32
1239,CRS,32
1248,CS,32
1257,CSL,32
1267,CSWI,32
1268,CSX,32
1291,CUB,32
1296,CUK,32
1313,CW,32
1348,DAL,32
1351,DAN,32
1357,DB,32
1373,DCI,32
1379,DD,32
1388,DE,32
1421,DGII,32
1464,DLB,32
1503,DOV,32
1533,DSPG,32
1583,DXC,32
1590,DXPE,32
1592,DY,32
1599,EAF,32
1629,ECHO,32
1634,ECPG,32
1721,EME,32
1728,EMN,32
1733,EMR,32
1745,ENS,32
1773,EQH,32
1778,EQRR,32
1789,ERII,32
1800,ESE,32
1813,ESI,32
1837,ETN,32
1859,EV,32
1873,EVR,32
1914,EXP,32
1922,EXTR,32
1934,F,32
1944,FARO,32
1946,FAST,32
1974,FCFS,32
2001,FDX,32
2006,FELE,32
2029,FFIV,32
2042,FHI,32
2072,FIX,32
2091,FLEX,32
2119,FLR,32
2121,FLS,32
2137,FMC,32
2147,FN,32
2151,FND,32
2170,FOCS,32
2171,FOE,32
2178,FORM,32
2225,FSLR,32
2232,FSS,32
2234,FSTR,32
2260,FTV,32
2267,FUL,32
2286,FWRD,32
2317,GATX,32
2330,GBX,32
2337,GCP,32
2355,GEF,32
2368,GFF,32
2376,GGG,32
2423,GLW,32
2425,GM,32
2450,GNRC,32
2454,GNTX,32
2472,GPC,32
2473,GPI,32
2482,GRA,32
2486,GRC,32
2504,GS,32
2523,GT,32
2526,GTES,32
2531,GTLS,32
2544,GVA,32
2552,GWW,32
2560,H,32
2576,HAYN,32
2608,HDS,32
2614,HEES,32
2637,HGV,32
2641,HI,32
2659,HLIO,32
2662,HLT,32
2674,HNI,32
2680,HOG,32
2692,HPE,32
2702,HQY,32
2706,HRI,32
2712,HSC,32
2737,HUBB,32
2738,HUBG,32
2744,HUN,32
2806,IBKR,32
2835,ICHR,32
2844,IDCC,32
2872,IEX,32
2907,IIIN,32
2911,IIVI,32
2947,INFN,32
2967,INT,32
2968,INTC,32
2979,IOSP,32
2981,IP,32
3006,IR,32
3033,ITA,32
3041,ITRI,32
3044,ITT,32
3046,ITW,32
3090,J,32
3098,JBL,32
3101,JBT,32
3104,JCI,32
3125,JHG,32
3172,JNPR,32
3209,JW-A,32
3214,KAI,32
3216,KALU,32
3218,KAMN,32
3219,KAR,32
3227,KBR,32
3247,KEX,32
3261,KLAC,32
3265,KLIC,32
3272,KMT,32
3274,KN,32
3278,KNL,32
3280,KNX,32
3290,KOP,32
3304,KRO,32
3323,KWR,32
3342,LASR,32
3345,LAZ,32
3356,LCII,32
3363,LDL,32
3369,LEA,32
3372,LECO,32
3375,LEG,32
3389,LFUS,32
3404,LILA,32
3412,LITE,32
3445,LNTH,32
3461,LPLA,32
3469,LRCX,32
3478,LSTR,32
3488,LUV,32
3490,LVS,32
3496,LYB,32
3508,MAN,32
3512,MAR,32
3516,MAS,32
3519,MATX,32
3535,MC,32
3545,MCHP,32
3581,MEI,32
3585,MERC,32
3616,MGM,32
3641,MINI,32
3651,MKSI,32
3653,MLCO,32
3654,MLHR,32
3655,MLI,32
3676,MMM,32
3701,MOD,32
3713,MOS,32
3721,MPAA,32
3726,MPWR,32
3741,MRVL,32
3754,MSM,32
3760,MT,32
3781,MTRN,32
3783,MTSC,32
3784,MTSI,32
3787,MTX,32
3788,MTZ,32
3789,MU,32
3812,MWA,32
3820,MXIM,32
3821,MXL,32
3822,MYE,32
3826,MYL,32
3848,NAV,32
3850,NAVI,32
3868,NCLH,32
3870,NCR,32
3876,NDSN,32
3962,NNI,32
3965,NOAH,32
3977,NOVT,32
3979,NP,32
3984,NPO,32
4001,NSC,32
4009,NTAP,32
4012,NTCT,32
4032,NUE,32
4059,NVT,32
4065,NWL,32
4068,NWS,32
4069,NWSA,32
4093,OC,32
4107,ODFL,32
4110,OEC,32
4127,OI,32
4137,OLN,32
4191,OSB,32
4253,PATK,32
4305,PDFS,32
4323,PEJ,32
4345,PFG,32
4371,PH,32
4416,PLAB,32
4430,PLOW,32
4434,PLT,32
4441,PLXS,32
4459,PNR,32
4465,POL,32
4471,POWI,32
4472,POWL,32
4494,PRAA,32
4506,PRIM,32
4508,PRLB,32
4538,PSCI,32
4539,PSCM,32
4544,PSI,32
4596,PVH,32
4602,PWR,32
4630,QCLN,32
4631,QCOM,32
4671,QRVO,32
4689,R,32
4716,RCL,32
4762,REVG,32
4793,RHI,32
4794,RHP,32
4824,RLJ,32
4831,RMBS,32
4849,RNSC,32
4858,ROG,32
4860,ROK,32
4864,ROLL,32
4890,RRR,32
4891,RS,32
4906,RUSHA,32
4935,RXN,32
4937,RYAM,32
4948,RZV,32
4950,SABR,32
4957,SAIA,32
4963,SANM,32
4968,SATS,32
4990,SC,32
5003,SCHN,32
5017,SCL,32
5024,SCS,32
5044,SDVY,32
5053,SEIC,32
5061,SF,32
5082,SGH,32
5151,SLAB,32
5159,SLM,32
5170,SLX,32
5201,SMP,32
5204,SMTC,32
5206,SNA,32
5212,SNDR,32
5228,SNX,32
5253,SPB,32
5287,SPR,32
5299,SPXC,32
5316,SRCL,32
5322,SRI,32
5336,SSD,32
5352,SSYS,32
5369,STM,32
5395,SUM,32
5415,SWIR,32
5416,SWK,32
5418,SWKS,32
5419,SWM,32
5425,SXC,32
5432,SYKE,32
5434,SYNA,32
5501,TDC,32
5513,TECD,32
5519,TEL,32
5522,TEN,32
5525,TER,32
5540,TGH,32
5543,TGNA,32
5562,THO,32
5563,THRM,32
5568,TIF,32
5574,TITN,32
