,symbol,cluster
0,AAAU,21
12,AAU,21
106,AEM,21
133,AG,21
142,AGI,21
152,AGQ,21
229,ALO,21
392,ASA,21
403,ASM,21
445,AUG,21
482,AXU,21
507,BAR,21
821,BVN,21
829,BWX,21
831,BWZ,21
944,CDE,21
961,CEF,21
1172,COM,21
1369,DBP,21
1370,DBS,21
1422,DGL,21
1424,DGP,21
1685,EGO,21
1782,EQX,21
1912,EXK,21
2167,FNV,21
2226,FSM,21
2288,FXF,21
2349,GDX,21
2369,GFI,21
2407,GLD,21
2409,GLDI,21
2410,GLDM,21
2420,GLTR,21
2457,GOAU,21
2458,GOEX,21
2462,GOLD,21
2468,GORO,21
2475,GPL,21
2519,GSS,21
2520,GSV,21
2654,HL,21
2672,HMY,21
2783,IAG,21
2787,IAU,21
2788,IAUF,21
2890,IGOV,21
3024,ISHG,21
3173,JNUG,21
3251,KGC,21
3260,KL,21
3504,MAG,21
3802,MUX,21
3910,NG,21
3911,NGD,21
4034,NUGT,21
4177,OR,21
4208,OUNZ,21
4230,PAAS,21
4387,PHYS,21
4390,PICB,21
4435,PLTM,21
4482,PPLT,21
4595,PVG,21
4784,RGLD,21
4810,RING,21
4949,SA,21
4962,SAND,21
5079,SGDJ,21
5080,SGDM,21
5086,SGOL,21
5120,SIL,21
5122,SILJ,21
5124,SILV,21
5135,SIVR,21
5167,SLV,21
5168,SLVO,21
5169,SLVP,21
5346,SSRM,21
5407,SVM,21
5559,THM,21
5768,UDN,21
5772,UEUR,21
5786,UGL,21
5787,UGLD,21
5800,ULE,21
5834,USAS,21
5850,USLV,21
5952,VGZ,21
