,symbol,cluster
21,ABEQ,23
63,ACTT,23
102,AEFC,23
127,AFMC,23
129,AFSM,23
150,AGNCO,23
151,AGNCP,23
173,AIH,23
219,ALIM,23
239,ALTG,23
242,ALUS,23
292,AMUB,23
339,APRE,23
378,ARMR,23
383,ARQT,23
452,AVDE,23
453,AVDV,23
454,AVEM,23
464,AVUS,23
465,AVUV,23
509,BATL,23
529,BBIN,23
564,BDCZ,23
565,BDEC,23
572,BDTX,23
575,BEAM,23
586,BFEB,23
629,BILL,23
683,BMAR,23
704,BNOV,23
709,BNTX,23
735,BPYPN,23
739,BPYUP,23
741,BRBR,23
742,BRBS,23
753,BRMK,23
757,BRP,23
776,BSEP,23
786,BSJR,23
814,BUG,23
837,BXRX,23
850,CABA,23
873,CAN,23
918,CCAP,23
938,CCX,23
1145,CNNB,23
1154,CNTG,23
1215,CPZ,23
1352,DAO,23
1361,DBEH,23
1375,DCOMP,23
1406,DFEB,23
1460,DKNG,23
1472,DLY,23
1489,DNK,23
1493,DNOV,23
1546,DTP,23
1550,DTUS,23
1572,DWEQ,23
1580,DWUS,23
1631,ECLN,23
1701,EJAN,23
1705,ELAT,23
1812,ESHY,23
1815,ESNG,23
1838,ETNB,23
1890,EWJV,23
1949,FAUS,23
1981,FCPI,23
1998,FDUSG,23
2024,FFEB,23
2064,FITBO,23
2123,FLSP,23
2158,FNGS,23
2166,FNOV,23
2205,FREQ,23
2322,GBDV,23
2350,GDYN,23
2405,GLADL,23
2466,GOODN,23
2517,GSLD,23
2557,GXTG,23
2570,HAPP,23
2585,HBT,23
2606,HDIV,23
2652,HJPX,23
2731,HTIA,23
2742,HUIZ,23
2757,HWM,23
2772,HYTR,23
2858,IDY,23
2912,IJAN,23
2921,IMAB,23
2943,INDO,23
2988,IPHA,23
3076,IXSE,23
3142,JIH,23
3178,JOYY,23
3235,KCCB,23
3237,KDFI,23
3259,KJAN,23
3301,KRKR,23
3358,LCR,23
3362,LDEM,23
3393,LGH,23
3416,LIZI,23
3431,LMLB,23
3434,LMPX,23
3561,MDIA,23
3646,MJO,23
3649,MKD,23
3659,MLPB,23
3705,MOHO,23
3716,MOTO,23
3816,MXDE,23
3933,NJAN,23
3968,NOCT,23
3989,NRGO,23
3990,NRGU,23
4011,NTCO,23
4025,NTRSO,23
4035,NUHY,23
4036,NULC,23
4044,NUSI,23
4080,NYMTM,23
4098,OCFT,23
4119,OFSSI,23
4151,ONEM,23
4155,ONTO,23
4172,OPRT,23
4213,OVF,23
4215,OVL,23
4217,OVM,23
4226,OYST,23
4231,PACA,23
4340,PFEB,23
4346,PFHD,23
4352,PFLD,23
4365,PGNY,23
4373,PHAT,23
4397,PINE,23
4409,PJUN,23
4444,PMAR,23
4458,PNNTG,23
4460,PNTG,23
4475,PPD,23
4540,PSEP,23
4568,PTBD,23
4616,PYPE,23
4648,QK,23
4654,QLVD,23
4655,QLVE,23
4658,QMJ,23
4663,QQH,23
4693,RAFE,23
4696,RAPT,23
4740,RECS,23
4754,RESD,23
4758,RESP,23
4763,REVS,23
4767,REYN,23
4805,RILYM,23
4866,ROMO,23
4878,RPAR,23
4911,RVMD,23
4951,SACC,23
5133,SITM,23
5134,SIVBP,23
5143,SJIJ,23
5241,SOJD,23
5280,SPN,23
5291,SPSK,23
5293,SPT,23
5350,SSUS,23
5367,STLG,23
5368,STLV,23
5421,SWT,23
5487,TCFCP,23
5509,TDV,23
5520,TELA,23
5598,TMDV,23
5628,TPIF,23
5632,TPSC,23
5654,TRNE,23
5765,UCIB,23
5767,UDEC,23
5798,UJUN,23
5813,UNOV,23
5840,USEP,23
5922,VEGN,23
5923,VEL,23
5959,VIE,23
6105,WEBL,23
6138,WIZ,23
6196,WWJD,23
6249,XOUT,23
6250,XP,23
