,symbol,cluster
533,BBN,6
594,BFY,6
616,BHK,6
653,BKK,6
662,BKT,6
710,BNY,6
740,BQH,6
775,BSE,6
809,BTT,6
845,BZM,6
983,CEV,6
1554,DUC,6
1846,ETX,6
2320,GBAB,6
2908,IIM,6
3536,MCA,6
3541,MCEF,6
3627,MHF,6
3637,MIN,6
3671,MMD,6
3680,MMT,6
3720,MPA,6
3785,MTT,6
3790,MUA,6
3796,MUJ,6
3825,MYJ,6
3827,MYN,6
3836,MZA,6
3838,NAC,6
3842,NAN,6
3854,NBB,6
3860,NBO,6
3866,NCA,6
3867,NCB,6
3929,NIM,6
3935,NJV,6
3957,NMS,6
4045,NUV,6
4070,NXC,6
4072,NXN,6
4073,NXQ,6
4288,PCK,6
4293,PCQ,6
4447,PMF,6
4448,PML,6
4452,PMX,6
4453,PNF,6
4455,PNI,6
4614,PYN,6
4620,PZC,6
4623,PZT,6
5898,VBF,6
6126,WIA,6
6137,WIW,6
