,symbol,cluster
60,ACSI,2
184,AIRR,2
590,BFOR,2
867,CALF,2
943,CDC,2
946,CDL,2
987,CFA,2
994,CFO,2
1104,CLRG,2
1192,COWZ,2
1249,CSA,2
1250,CSB,2
1251,CSD,2
1252,CSF,2
1312,CVY,2
1342,CZA,2
1400,DES,2
1402,DEUS,2
1411,DFNL,2
1426,DGRO,2
1427,DGRS,2
1466,DLN,2
1484,DMRM,2
1485,DMRS,2
1500,DON,2
1540,DTD,2
1545,DTN,2
1560,DUSL,2
1564,DVLU,2
1567,DVP,2
1568,DVY,2
1665,EES,2
1770,EQAL,2
1781,EQWL,2
1814,ESML,2
1833,ETHO,2
1857,EUSA,2
1892,EWMC,2
1930,EZM,2
1936,FAB,2
1945,FAS,2
1993,FDRR,2
2000,FDVV,2
2017,FEX,2
2032,FFSG,2
2052,FIDU,2
2071,FIW,2
2118,FLQS,2
2152,FNDA,2
2153,FNDB,2
2164,FNK,2
2169,FNX,2
2237,FTA,2
2249,FTHI,2
2278,FVAL,2
2281,FVD,2
2294,FXO,2
2296,FXR,2
2299,FXZ,2
2300,FYC,2
2302,FYT,2
2303,FYX,2
2510,GSEW,2
2609,HDV,2
2785,IAK,2
2878,IFRA,2
2913,IJH,2
2914,IJJ,2
2915,IJK,2
2916,IJR,2
2917,IJS,2
3054,IVE,2
3057,IVOG,2
3059,IVOO,2
3061,IWC,2
3063,IWN,2
3064,IWO,2
3066,IWR,2
3067,IWS,2
3069,IWX,2
3080,IYF,2
3085,IYM,2
3110,JDIV,2
3129,JHMF,2
3131,JHMI,2
3133,JHMM,2
3138,JHSC,2
3155,JKF,2
3156,JKG,2
3158,JKI,2
3159,JKJ,2
3191,JPSE,2
3194,JPUS,2
3204,JSML,2
3208,JVAL,2
3236,KCE,2
3255,KIE,2
3277,KNG,2
3328,L,2
3474,LSAF,2
3505,MAGA,2
3574,MDY,2
3575,MDYV,2
3607,MFUS,2
3624,MGV,2
3635,MIDU,2
3699,MOAT,2
3811,MVV,2
3966,NOBL,2
4038,NULV,2
4041,NUMV,2
4142,OMFL,2
4152,ONEO,2
4153,ONEV,2
4154,ONEY,2
4192,OSCV,2
4255,PAVE,2
4334,PEY,2
4383,PHO,2
4414,PKW,2
4423,PLCY,2
4473,PPA,2
4499,PRF,2
4501,PRFZ,2
4604,PWV,2
4634,QDEF,2
4636,QDYN,2
4673,QSY,2
4685,QVAL,2
4709,RCD,2
4728,RDIV,2
4735,RDVY,2
4775,RFFC,2
4783,RGI,2
4838,RMT,2
4848,RNMC,2
4874,ROUS,2
4894,RSP,2
4900,RTM,2
4914,RVRS,2
4915,RVT,2
4921,RWJ,2
4922,RWK,2
4923,RWL,2
4947,RZG,2
4994,SCHA,2
5002,SCHM,2
5008,SCHV,2
5014,SCIU,2
5040,SDOG,2
5045,SDY,2
5046,SDYL,2
5127,SIMS,2
5139,SIZE,2
5166,SLT,2
5171,SLY,2
5172,SLYG,2
5173,SLYV,2
5180,SMDV,2
5190,SMLF,2
5191,SMLV,2
5195,SMMD,2
5198,SMMV,2
5258,SPDV,2
5266,SPHB,2
5277,SPMD,2
5292,SPSM,2
5305,SPYD,2
5439,SYV,2
5526,TERM,2
5607,TNA,2
5806,UMDD,2
5828,URTY,2
5841,USEQ,2
5861,USVM,2
5881,UWM,2
5883,UYM,2
5890,VALQ,2
5896,VAW,2
5897,VB,2
5938,VFLQ,2
5939,VFMF,2
5942,VFVA,2
5963,VIOG,2
5965,VIOV,2
5970,VIS,2
5985,VLU,2
5986,VLUE,2
6005,VOE,2
6007,VOOV,2
6056,VTWG,2
6057,VTWO,2
6058,VTWV,2
6060,VUSE,2
6068,VXF,2
6074,VYM,2
6088,WBIF,2
6092,WBIY,2
6228,XLI,2
6238,XMHQ,2
6241,XMVM,2
6259,XSHQ,2
6260,XSLV,2
6261,XSMO,2
6264,XSVM,2
6267,XTL,2
