,symbol,cluster
15,AB,37
26,ABR,37
56,ACRE,37
111,AES,37
148,AGNC,37
167,AHT,37
168,AI,37
180,AINV,37
189,AIZ,37
192,AJX,37
217,ALG,37
250,AMBC,37
306,ANH,37
329,APLE,37
356,ARCC,37
361,ARD,37
367,ARI,37
384,ARR,37
424,ATNI,37
469,AWI,37
471,AWP,37
480,AXS,37
488,AZO,37
523,BBDC,37
562,BDCS,37
637,BIZD,37
669,BLD,37
670,BLDR,37
685,BMCH,37
835,BXMT,37
853,CACC,37
859,CAG,37
937,CCS,37
953,CDR,37
1001,CGBD,37
1038,CHMI,37
1073,CIM,37
1092,CLDT,37
1099,CLNC,37
1101,CLNY,37
1127,CMO,37
1151,CNS,37
1159,CODI,37
1186,CORR,37
1212,CPTA,37
1227,CRHM,37
1285,CTT,37
1302,CVCO,37
1317,CWCO,37
1321,CWK,37
1323,CWST,37
1398,DENN,37
1435,DHI,37
1450,DIV,37
1490,DNKN,37
1502,DOOR,37
1516,DRH,37
1582,DX,37
1606,EARN,37
1672,EFC,37
1708,ELF,37
1744,ENR,37
1816,ESNT,37
1938,FAF,37
1997,FDUS,37
2037,FGB,37
2156,FNF,37
2175,FOR,37
2222,FSK,37
2235,FSV,37
2308,GAIN,37
2321,GBDC,37
2477,GPMT,37
2485,GRBK,37
2507,GSBD,37
2572,HASI,37
2616,HELE,37
2645,HIG,37
2649,HIPS,37
2689,HOV,37
2720,HST,37
2727,HTGC,37
2817,IBP,37
2874,IFEU,37
2910,IIPR,37
2954,INGR,37
3034,ITB,37
3200,JRVR,37
3230,KBWD,37
3253,KHC,37
3299,KREF,37
3321,KW,37
3334,LADR,37
3339,LAND,37
3380,LEN,37
3396,LGIH,37
3408,LIND,37
3465,LPX,37
3492,LW,37
3507,MAIN,37
3525,MBI,37
3556,MCY,37
3558,MDC,37
3591,MFA,37
3633,MHO,37
3645,MITT,37
3656,MLM,37
3672,MMI,37
3712,MORT,37
3752,MSGS,37
3771,MTG,37
3773,MTH,37
3840,NAIL,37
3894,NEU,37
3898,NEWT,37
3946,NLY,37
3949,NMFC,37
3987,NRG,37
3999,NRZ,37
4055,NVR,37
4079,NYMT,37
4103,OCSL,37
4181,ORC,37
4210,OUT,37
4266,PBH,37
4353,PFLT,37
4357,PFSI,37
4382,PHM,37
4410,PKB,37
4443,PM,37
4457,PNNT,37
4474,PPC,37
4672,QSR,37
4698,RBA,37
4729,RDN,37
4730,RDNT,37
4749,REM,37
4756,RESI,37
4821,RLGY,37
4828,RMAX,37
4909,RVI,37
4966,SAR,37
5018,SCM,37
5098,SHO,37
5132,SITE,37
5164,SLRC,37
5185,SMG,37
5272,SPKE,37
5355,STAR,37
5387,STWD,37
5390,STZ,37
5398,SUNS,37
5441,SYY,37
5445,T,37
5492,TCPC,37
5527,TERP,37
5557,THG,37
5625,TPH,37
5634,TPVG,37
5642,TREX,37
5666,TRTX,37
5688,TSLX,37
5690,TSN,37
5724,TWO,37
5842,USFD,37
5990,VMC,37
6040,VST,37
6062,VVI,37
6108,WEN,37
6145,WMC,37
6180,WTM,37
6199,WY,37
6204,XAN,37
6221,XHB,37
6222,XHR,37
