,symbol,cluster
140,AGGP,29
141,AGGY,29
636,BIV,29
695,BNDC,29
718,BOND,29
766,BSCL,29
767,BSCM,29
768,BSCN,29
769,BSCO,29
770,BSCP,29
771,BSCQ,29
772,BSCS,29
800,BSV,29
841,BYLD,29
1114,CMBS,29
1123,CMF,29
1185,CORP,29
1438,DIAL,29
1573,DWFI,29
1735,EMTL,29
1962,FBND,29
1968,FCAL,29
1980,FCOR,29
2028,FFIU,29
2034,FFTI,29
2048,FIBR,29
2073,FIXD,29
2089,FLDR,29
2125,FLTB,29
2134,FMB,29
2298,FXY,29
2387,GIGB,29
2445,GNMA,29
2493,GRNB,29
2530,GTIP,29
2534,GTO,29
2546,GVI,29
2734,HTRB,29
2760,HYD,29
2784,IAGG,29
2789,IBCE,29
2790,IBD,29
2791,IBDD,29
2792,IBDM,29
2793,IBDN,29
2794,IBDP,29
2795,IBDQ,29
2796,IBDR,29
2797,IBDS,29
2798,IBDT,29
2808,IBMK,29
2809,IBML,29
2810,IBMM,29
2887,IGIB,29
2888,IGLB,29
2893,IGSB,29
3029,ISTB,29
3038,ITM,29
3048,IUSB,29
3163,JMBS,29
3292,KORP,29
3421,LKOR,29
3427,LMBS,29
3523,MBB,29
3532,MBSD,29
3791,MUB,29
3797,MUNI,29
4029,NUAG,29
4030,NUBD,29
4043,NUSA,29
4078,NYF,29
4349,PFIG,29
4605,PWZ,29
4619,PZA,29
4652,QLTA,29
5004,SCHO,29
5005,SCHP,29
5097,SHM,29
5104,SHY,29
5105,SHYD,29
5148,SKOR,29
5163,SLQD,29
5176,SMB,29
5254,SPBO,29
5270,SPIB,29
5271,SPIP,29
5276,SPMB,29
5296,SPTS,29
5376,STOT,29
5378,STPZ,29
5393,SUB,29
5405,SUSB,29
5508,TDTF,29
5532,TFI,29
5570,TIP,29
5572,TIPX,29
5619,TOTL,29
5847,USIG,29
5859,USTB,29
5903,VBND,29
5908,VCIT,29
5909,VCLT,29
5912,VCSH,29
6045,VTC,29
6046,VTEB,29
6049,VTIP,29
6115,WFIG,29
