,symbol,cluster
2,AADR,24
10,AAPL,24
73,ADBE,24
80,ADME,24
171,AIEQ,24
181,AIQ,24
216,ALFA,24
295,AMZN,24
309,ANSS,24
370,ARKK,24
371,ARKQ,24
372,ARKW,24
623,BIBL,24
642,BJUL,24
712,BOCT,24
721,BOSS,24
724,BOUT,24
798,BST,24
854,CACG,24
875,CAPE,24
893,CATH,24
951,CDNS,24
1023,CHGX,24
1259,CSM,24
1314,CWB,24
1349,DALI,24
1428,DGRW,24
1483,DMRL,24
1530,DSI,24
1543,DTEC,24
1570,DWAS,24
1577,DWPP,24
1699,EIS,24
1774,EQL,24
1803,ESG,24
1811,ESGV,24
1818,ESPO,24
1937,FAD,24
1954,FBGX,24
1979,FCOM,24
1982,FCTR,24
1983,FCVT,24
1988,FDIS,24
1990,FDLO,24
1991,FDMO,24
2035,FFTY,24
2057,FINX,24
2066,FITE,24
2093,FLGE,24
2116,FLQL,24
2159,FNGU,24
2193,FPX,24
2196,FQAL,24
2209,FRLG,24
2242,FTC,24
2244,FTCS,24
2245,FTEC,24
2276,FV,24
2279,FVC,24
2282,FVL,24
2292,FXL,24
2467,GOOG,24
2547,GVIP,24
2562,HACK,24
2719,HSPX,24
2735,HTUS,24
2871,IETC,24
2889,IGM,24
2894,IGV,24
2984,IPAY,24
2992,IPO,24
3007,IRBO,24
3040,ITOT,24
3049,IUSG,24
3060,IVV,24
3062,IWF,24
3065,IWP,24
3068,IWV,24
3070,IWY,24
3074,IXN,24
3075,IXP,24
3078,IYC,24
3087,IYW,24
3088,IYY,24
3089,IYZ,24
3132,JHML,24
3135,JHMT,24
3154,JKE,24
3157,JKH,24
3160,JKK,24
3203,JSMD,24
3207,JUST,24
3285,KOIN,24
3289,KOMP,24
3366,LDRS,24
3370,LEAD,24
3388,LFEQ,24
3470,LRGE,24
3503,MA,24
3550,MCO,24
3603,MFMS,24
3610,MGC,24
3615,MGK,24
3681,MMTM,24
3746,MSCI,24
3749,MSFT,24
3786,MTUM,24
4026,NTSX,24
4037,NULG,24
4040,NUMG,24
4125,OGIG,24
4203,OTEX,24
4273,PBS,24
4335,PEZ,24
4408,PJUL,24
4463,POCT,24
4481,PPLC,24
4510,PRN,24
4572,PTF,24
4578,PTLC,24
4580,PTNQ,24
4591,PUTW,24
4600,PWC,24
4612,PXQ,24
4637,QED,24
4643,QGRO,24
4650,QLD,24
4660,QMOM,24
4662,QQEW,24
4664,QQQ,24
4665,QQQE,24
4666,QQQX,24
4667,QQXT,24
4681,QUAL,24
4684,QUS,24
4688,QYLD,24
4772,RFDA,24
4853,ROBT,24
4865,ROM,24
4881,RPG,24
4943,RYT,24
4995,SCHB,24
5092,SHE,24
5150,SKYY,24
5186,SMH,24
5223,SNPS,24
5250,SOXX,24
5264,SPGP,24
5267,SPHQ,24
5273,SPLG,24
5278,SPMO,24
5294,SPTM,24
5297,SPUU,24
5301,SPXL,24
5304,SPY,24
5342,SSO,24
5362,STK,24
5404,SUSA,24
5429,SYE,24
5430,SYG,24
5505,TDIV,24
5516,TECL,24
5601,TMFC,24
5637,TQQQ,24
5693,TTAC,24
5762,UCC,24
5797,UJUL,24
5817,UOCT,24
5819,UPRO,24
5852,USMF,24
5886,V,24
5901,VBK,24
5911,VCR,24
5940,VFMO,24
5951,VGT,24
5960,VIG,24
5993,VMOT,24
6006,VOO,24
6008,VOT,24
6009,VOX,24
6047,VTHR,24
6048,VTI,24
6059,VUG,24
6061,VV,24
6224,XITK,24
6225,XLC,24
6227,XLG,24
6229,XLK,24
6240,XMMO,24
6244,XNTK,24
6265,XSW,24
6266,XT,24
6270,XWEB,24
6315,ZIV,24
