,symbol,cluster
40,ACES,22
67,ACWF,22
68,ACWI,22
96,ADX,22
136,AGD,22
175,AIIQ,22
313,AOA,22
315,AOM,22
317,AOR,22
327,APH,22
396,ASG,22
404,ASML,22
455,AVGO,22
479,AXP,22
502,BAM,22
512,BATT,22
520,BBCA,22
531,BBJP,22
566,BDJ,22
608,BGY,22
625,BIF,22
640,BJK,22
668,BLCN,22
672,BLES,22
713,BOE,22
723,BOTZ,22
979,CET,22
1005,CGNX,22
1070,CII,22
1072,CIL,22
1219,CRBN,22
1238,CROP,22
1365,DBJP,22
1366,DBLV,22
1383,DDM,22
1403,DEW,22
1404,DEX,22
1409,DFJ,22
1430,DGT,22
1439,DIAX,22
1451,DIVB,22
1452,DIVO,22
1482,DMRI,22
1488,DNI,22
1519,DRIV,22
1535,DSTL,22
1559,DUSA,22
1574,DWLD,22
1576,DWMF,22
1588,DXJ,22
1647,EDOW,22
1702,EKAR,22
1753,EOI,22
1754,EOS,22
1806,ESGG,22
1807,ESGN,22
1831,ETG,22
1839,ETO,22
1844,ETV,22
1845,ETW,22
1847,ETY,22
1881,EWA,22
1883,EWC,22
1889,EWJ,22
1910,EXG,22
1911,EXI,22
1929,EZJ,22
2020,FFA,22
2077,FJP,22
2080,FLAU,22
2085,FLCA,22
2100,FLJP,22
2104,FLM,22
2115,FLQH,22
2140,FMK,22
2255,FTRI,22
2272,FUND,22
2306,GAB,22
2312,GAM,22
2348,GDVD,22
2360,GENY,22
2379,GGZ,22
2419,GLQ,22
2449,GNR,22
2476,GPM,22
2539,GUNR,22
2564,HAIL,22
2569,HAP,22
2604,HDG,22
2622,HEWC,22
2625,HEWJ,22
2627,HEWP,22
2628,HEWU,22
2633,HFXJ,22
2664,HMC,22
2696,HPQ,22
2848,IDLB,22
2862,IEDI,22
2881,IGA,22
2884,IGD,22
2896,IHDG,22
2903,IID,22
2955,INKM,22
2977,IOO,22
2982,IPAC,22
3072,IXG,22
3103,JCE,22
3115,JEQ,22
3127,JHMC,22
3153,JKD,22
3176,JOF,22
3187,JPMV,22
3188,JPN,22
3189,JPNL,22
3195,JPXN,22
3205,JTA,22
3206,JTD,22
3220,KARS,22
3395,LGI,22
3457,LOWC,22
3549,MCN,22
3708,MOO,22
3819,MXI,22
3907,NFJ,22
3927,NIE,22
4077,NXTG,22
4134,OLED,22
4270,PBP,22
4279,PBW,22
4377,PHDG,22
4391,PICK,22
4512,PRNT,22
4548,PSMB,22
4550,PSMG,22
4628,QARP,22
4644,QGTA,22
4649,QLC,22
4678,QTUM,22
4790,RGT,22
4847,RNLC,22
4852,ROBO,22
4883,RPM,22
4898,RTH,22
5013,SCIJ,22
5184,SMFG,22
5200,SMOG,22
5225,SNSR,22
5237,SOIL,22
5444,SZNE,22
5455,TAN,22
5495,TCTL,22
5581,TLDH,22
5613,TOK,22
5657,TROW,22
5694,TTAI,22
5731,TXN,22
5732,TY,22
5769,UDOW,22
5829,USA,22
5921,VEGI,22
6043,VT,22
6087,WBIE,22
6237,XLY,22
6299,ZCAN,22
