,symbol,cluster
17,ABBV,8
20,ABEO,8
29,ABUS,8
32,ACAD,8
72,ADAP,8
82,ADMS,8
87,ADRO,8
95,ADVM,8
110,AERI,8
128,AFMD,8
138,AGEN,8
143,AGIO,8
144,AGLE,8
179,AIMT,8
195,AKBA,8
196,AKCA,8
209,ALBO,8
212,ALDX,8
222,ALKS,8
225,ALLK,8
228,ALNY,8
244,ALXN,8
246,AMAG,8
262,AMGN,8
274,AMPH,8
280,AMRN,8
297,ANAB,8
307,ANIK,8
330,APLS,8
366,ARGX,8
369,ARKG,8
379,ARNA,8
389,ARWR,8
419,ATHX,8
426,ATNX,8
431,ATRA,8
435,ATRS,8
446,AUPH,8
461,AVRO,8
475,AXGT,8
519,BBC,8
527,BBH,8
557,BCRX,8
571,BDSI,8
622,BHVN,8
626,BIIB,8
680,BLUE,8
692,BMRN,8
728,BPMC,8
799,BSTC,8
805,BTEC,8
865,CALA,8
879,CARA,8
899,CBAY,8
900,CBB,8
907,CBMG,8
939,CCXI,8
948,CDMO,8
950,CDNA,8
955,CDXS,8
978,CERS,8
1046,CHRS,8
1108,CLVS,8
1111,CLXT,8
1129,CMRX,8
1136,CNCR,8
1153,CNST,8
1170,COLL,8
1220,CRBP,8
1236,CRNX,8
1241,CRSP,8
1247,CRY,8
1284,CTSO,8
1341,CYTK,8
1521,DRNA,8
1562,DVAX,8
1620,EBS,8
1643,EDIT,8
1688,EGRX,8
1692,EHTH,8
1696,EIGR,8
1768,EPZM,8
1819,ESPR,8
1927,EYPT,8
1948,FATE,8
1965,FBT,8
2011,FENC,8
2088,FLDM,8
2173,FOLD,8
2263,FTXH,8
2328,GBT,8
2364,GERN,8
2392,GILD,8
2422,GLUU,8
2424,GLYC,8
2446,GNMK,8
2489,GRFS,8
2499,GRTS,8
2528,GTHX,8
2550,GWPH,8
2568,HALO,8
2699,HQH,8
2701,HQL,8
2716,HSKA,8
2743,HUM,8
2777,HZNP,8
2842,ICPT,8
2853,IDRA,8
2866,IEIH,8
2909,IIN,8
2924,IMGN,8
2930,IMMU,8
2940,INCY,8
2953,INGN,8
2957,INO,8
2963,INSM,8
2976,IONS,8
3016,IRTC,8
3017,IRWD,8
3036,ITCI,8
3215,KALA,8
3217,KALV,8
3238,KDMN,8
3257,KIN,8
3279,KNSA,8
3282,KOD,8
3296,KPTI,8
3309,KRYS,8
3319,KURA,8
3330,LABU,8
3398,LGND,8
3417,LJPC,8
3433,LMNX,8
3552,MCRB,8
3559,MDGL,8
3618,MGNX,8
3622,MGTA,8
3623,MGTX,8
3697,MNTA,8
3704,MOH,8
3735,MRKR,8
3739,MRTX,8
3823,MYGN,8
3829,MYOK,8
3831,MYOV,8
3857,NBIX,8
3889,NERV,8
3936,NK,8
3941,NKTR,8
4007,NSTG,8
4022,NTRA,8
4048,NVAX,8
4056,NVRO,8
4060,NVTA,8
4104,OCUL,8
4109,ODT,8
4139,OMER,8
4167,OPK,8
4200,OSUR,8
4214,OVID,8
4263,PBE,8
4281,PBYI,8
4294,PCRX,8
4308,PDLI,8
4401,PIRS,8
4406,PJP,8
4511,PRNB,8
4520,PRQR,8
4524,PRTA,8
4526,PRTK,8
4569,PTCT,8
4574,PTH,8
4577,PTLA,8
4635,QDEL,8
4674,QTNT,8
4697,RARE,8
4714,RCKT,8
4722,RCUS,8
4733,RDUS,8
4744,REGN,8
4753,REPL,8
4759,RETA,8
4782,RGEN,8
4786,RGNX,8
4800,RIGL,8
4901,RTRX,8
4903,RUBY,8
4912,RVNC,8
4944,RYTM,8
4955,SAGE,8
4979,SBIO,8
5084,SGMO,8
5155,SLDB,8
5213,SNDX,8
5285,SPPI,8
5288,SPRO,8
5326,SRNE,8
5327,SRPT,8
5401,SUPN,8
5403,SURF,8
5409,SVRA,8
5471,TBIO,8
5478,TBPH,8
5484,TCDA,8
5547,TGTX,8
5726,TWST,8
5730,TXMD,8
5759,UBX,8
5868,UTHR,8
5905,VCEL,8
5913,VCYT,8
5975,VIVO,8
5981,VKTX,8
6032,VRTX,8
6041,VSTM,8
6073,VYGR,8
6189,WVE,8
6206,XBI,8
6217,XERS,8
6233,XLRN,8
6242,XNCR,8
6246,XOMA,8
6285,YMAB,8
6305,ZGNX,8
6314,ZIOP,8
6333,ZYNE,8
