,symbol,cluster
146,AGM-A,19
164,AHCO,19
188,AIW,19
198,AKO-A,19
234,ALRS,19
287,AMTBB,19
328,API,19
344,APWC,19
390,ARYAU,19
409,ASRVP,19
413,ATCO,19
567,BDL,19
579,BELFA,19
591,BFRA,19
659,BKSB,19
688,BMLP,19
764,BSBE,19
827,BWL-A,19
866,CALB,19
909,CBON,19
982,CETXP,19
1067,CIG-C,19
1085,CKX,19
1091,CLDB,19
1139,CNFR,19
1162,COFS,19
1196,CPAC,19
1372,DCHF,19
1417,DFVS,19
1449,DIT,19
1456,DJPY,19
1492,DNN,19
1571,DWAT,19
1706,ELC,19
1711,ELLO,19
1779,EQS,19
1795,ERYP,19
1964,FBSS,19
2043,FHK,19
2059,FISK,19
2082,FLBL,19
2113,FLOT,19
2126,FLTR,19
2138,FMCI,19
2186,FPAC,19
2194,FPXE,19
2240,FTAG,19
2283,FWDB,19
2293,FXNC,19
2334,GCE,19
2397,GJH,19
2398,GJO,19
2399,GJP,19
2401,GJS,19
2402,GJT,19
2406,GLBZ,19
2428,GMBL,19
2533,GTN-A,19
2558,GYC,19
2651,HJLIW,19
2665,HMG,19
2681,HOLD,19
2690,HOVNP,19
2726,HTFA,19
2747,HUSA,19
2831,ICCH,19
2847,IDIV,19
2900,IHT,19
2919,IKNX,19
2969,INTG,19
2978,IOR,19
2985,IPB,19
3012,IROQ,19
3027,ISR,19
3097,JBK,19
3108,JCTCF,19
3147,JJM,19
3151,JJT,19
3152,JJU,19
3192,JPST,19
3210,JW-B,19
3249,KFFB,19
3312,KSU.P,19
3315,KTH,19
3316,KTN,19
3385,LFAC,19
3390,LGC,19
3401,LHC,19
3491,LVUS,19
3522,MAYS,19
3592,MFAC,19
3600,MFINL,19
3613,MGF,19
3625,MGYR,19
3668,MLTI,19
3702,MOG-B,19
3745,MSC,19
3758,MSVB,19
3775,MTL.P,19
3882,NEN,19
3909,NFTY,19
3950,NMFX,19
3971,NOM,19
4003,NSEC,19
4115,OFED,19
4120,OFSSZ,19
4121,OGCP,19
4207,OTTW,19
4234,PACQ,19
4235,PACQW,19
4241,PALC,19
4252,PATI,19
4276,PBTP,19
4364,PGM,19
4375,PHCF,19
4389,PIC,19
4421,PLC,19
4428,PLM,19
4451,PMOM,19
4584,PTVCA,19
4589,PULS,19
4597,PVI,19
4618,PYT,19
4703,RBIN,19
4711,RCG,19
4814,RIVE,19
4818,RJZ,19
4835,RMI,19
4895,RSSS,19
5062,SFBC,19
5085,SGOC,19
5113,SIF,19
5125,SIM,19
5252,SPAQ,19
5286,SPPP,19
5377,STPP,19
5391,STZ-B,19
5417,SWKH,19
5451,TAGS,19
5464,TATT,19
5474,TBLTW,19
5493,TCRW,19
5534,TFLO,19
5580,TLC,19
5649,TRMD,19
5686,TSI,19
5744,UAG,19
5763,UCHF,19
5801,ULST,19
5843,USFR,19
5893,VAM,19
5899,VBFC,19
5932,VETS,19
5998,VNLA,19
6012,VQT,19
6017,VRIG,19
6028,VRT,19
6122,WHLM,19
6134,WINT,19
6142,WLDR,19
6190,WVFC,19
6192,WVVIP,19
6252,XPL,19
6268,XTLB,19
