,symbol,cluster
11,AAT,17
36,ACC,17
74,ADC,17
124,AFIN,17
165,AHH,17
187,AIV,17
215,ALEX,17
243,ALX,17
263,AMH,17
285,AMT,17
341,APTS,17
363,ARE,17
450,AVB,17
568,BDN,17
592,BFS,17
747,BRG,17
836,BXP,17
925,CCI,17
1076,CIO,17
1096,CLI,17
1169,COLD,17
1176,CONE,17
1182,COR,17
1211,CPT,17
1293,CUBE,17
1300,CUZ,17
1329,CXP,17
1331,CXW,17
1389,DEA,17
1395,DEI,17
1495,DOC,17
1515,DRE,17
1520,DRN,17
1763,EPR,17
1772,EQC,17
1777,EQR,17
1821,ESRT,17
1822,ESS,17
1897,EWRE,17
1920,EXR,17
2031,FFR,17
2204,FREL,17
2208,FRI,17
2215,FRT,17
2229,FSP,17
2418,GLPI,17
2436,GMRE,17
2443,GNL,17
2464,GOOD,17
2695,HPP,17
2703,HR,17
2833,ICF,17
2944,INDS,17
3011,IRM,17
3015,IRT,17
3086,IYR,17
3096,JBGS,17
3102,JCAP,17
3198,JRS,17
3233,KBWY,17
3256,KIM,17
3297,KRC,17
3300,KRG,17
3337,LAMR,17
3476,LSI,17
3482,LTC,17
3494,LXP,17
3619,MGP,17
3693,MNR,17
3725,MPW,17
3963,NNN,17
3995,NRO,17
4074,NXRT,17
4086,O,17
4114,OFC,17
4126,OHI,17
4138,OLP,17
4164,OPI,17
4286,PCH,17
4309,PDM,17
4314,PEAK,17
4321,PEI,17
4368,PGRE,17
4424,PLD,17
4486,PPTY,17
4532,PSA,17
4533,PSB,17
4557,PSR,17
4676,QTS,17
4742,REG,17
4768,REZ,17
4776,RFI,17
4798,RIF,17
4859,ROIC,17
4867,ROOF,17
4869,RORE,17
4877,RPAI,17
4885,RPT,17
4887,RQI,17
4927,RWO,17
4928,RWR,17
4942,RYN,17
4985,SBRA,17
4999,SCHH,17
5131,SITC,17
5224,SNR,17
5315,SRC,17
5320,SRET,17
5333,SRVR,17
5354,STAG,17
5375,STOR,17
5394,SUI,17
5489,TCO,17
5655,TRNO,17
5751,UBA,17
5791,UHT,17
5807,UMH,17
5857,USRT,17
5925,VER,17
5957,VICI,17
6000,VNO,17
6002,VNQ,17
6053,VTR,17
6156,WPC,17
6162,WRE,17
6163,WRI,17
6172,WSR,17
6232,XLRE,17
