,symbol,cluster
634,BIS,36
1010,CHAD,36
1237,CROC,36
1354,DAUD,36
1381,DDG,36
1497,DOG,36
1525,DRV,36
1578,DWSH,36
1585,DXD,36
1653,EDZ,36
1666,EEV,36
1679,EFU,36
1682,EFZ,36
1767,EPV,36
1851,EUM,36
2160,FNGZ,36
2295,FXP,36
2437,GNAF,36
2605,HDGE,36
3329,LABD,36
3801,MUTE,36
3835,MYY,36
3837,MZZ,36
4251,PASS,36
4556,PSQ,36
4645,QID,36
4746,REK,36
4764,REW,36
4926,RWM,36
4933,RXD,36
4972,SBB,36
4981,SBM,36
5034,SDD,36
5041,SDP,36
5043,SDS,36
5052,SEF,36
5090,SH,36
5119,SIJ,36
5141,SJB,36
5179,SMDD,36
5199,SMN,36
5249,SOXS,36
5257,SPDN,36
5310,SQQQ,36
5328,SRS,36
5331,SRTY,36
5443,SZK,36
5452,TAIL,36
5517,TECS,36
5715,TVIX,36
5738,TZA,36
5880,UVXY,36
5962,VIIX,36
5976,VIXM,36
5977,VIXY,36
6071,VXX,36
6072,VXZ,36
6275,YANG,36
6293,YXI,36
