,symbol,cluster
24,ABIO,1
34,ACB,1
39,ACER,1
45,ACHV,1
48,ACIU,1
57,ACRS,1
58,ACRX,1
62,ACTG,1
79,ADMA,1
81,ADMP,1
98,ADXS,1
99,AE,1
114,AEYE,1
115,AEZS,1
139,AGFS,1
154,AGRO,1
155,AGRX,1
158,AGTC,1
162,AGZD,1
170,AIC,1
174,AIHS,1
183,AIRG,1
197,AKER,1
199,AKO-B,1
201,AKTS,1
202,AKTX,1
226,ALLT,1
227,ALNA,1
233,ALRN,1
237,ALT,1
260,AMEH,1
278,AMRH,1
281,AMRS,1
290,AMTX,1
312,ANY,1
319,AP,1
323,APDN,1
335,APOP,1
340,APTO,1
343,APVO,1
347,AQB,1
348,AQMS,1
350,AQST,1
351,ARAV,1
352,ARAY,1
354,ARC,1
360,ARCT,1
382,ARPO,1
405,ASPN,1
415,ATEC,1
425,ATNM,1
428,ATOM,1
429,ATOS,1
433,ATRI,1
437,ATTO,1
439,ATV,1
451,AVCO,1
456,AVGR,1
460,AVNW,1
490,AZRX,1
501,BAL,1
521,BBCP,1
526,BBGI,1
534,BBQ,1
549,BCLI,1
553,BCOM,1
574,BE,1
578,BEDU,1
583,BEST,1
609,BH-A,1
635,BITA,1
663,BKTI,1
667,BLCM,1
673,BLFS,1
675,BLIN,1
677,BLNK,1
678,BLPH,1
679,BLU,1
699,BNGO,1
714,BOIL,1
725,BOXL,1
733,BPT,1
734,BPTH,1
778,BSGM,1
822,BVXV,1
823,BW,1
844,BYSI,1
848,CAAP,1
849,CAAS,1
876,CAPL,1
877,CAPR,1
892,CATB,1
896,CATS,1
898,CBAT,1
904,CBIO,1
921,CCCL,1
926,CCJ,1
934,CCR,1
954,CDTX,1
956,CDZI,1
964,CEI,1
981,CETX,1
993,CFMS,1
996,CFRX,1
1002,CGC,1
1004,CGIX,1
1011,CHAP,1
1020,CHEK,1
1021,CHFS,1
1036,CHMA,1
1045,CHRA,1
1064,CIDM,1
1075,CINR,1
1084,CKPT,1
1089,CLBS,1
1105,CLSD,1
1106,CLSK,1
1107,CLUB,1
1117,CMCM,1
1138,CNET,1
1158,CO,1
1160,COE,1
1184,CORN,1
1210,CPST,1
1229,CRIS,1
1232,CRMD,1
1244,CRVS,1
1266,CSWC,1
1275,CTIC,1
1288,CTXR,1
1295,CUE,1
1308,CVM,1
1316,CWBR,1
1326,CXDC,1
1333,CYB,1
1335,CYCC,1
1346,DAC,1
1353,DARE,1
1355,DAVA,1
1358,DBA,1
1437,DHT,1
1453,DIVY,1
1462,DL,1
1463,DLA,1
1467,DLNG,1
1473,DMAC,1
1478,DMLP,1
1479,DMO,1
1480,DMPI,1
1510,DPW,1
1518,DRIO,1
1522,DRRX,1
1523,DRTT,1
1534,DSS,1
1538,DSX,1
1542,DTEA,1
1579,DWSN,1
1607,EARS,1
1623,ECC,1
1624,ECCB,1
1635,ECT,1
1637,EDAP,1
1649,EDSA,1
1687,EGPT,1
1694,EIDX,1
1709,ELGX,1
1714,ELTK,1
1726,EMKR,1
1747,ENSV,1
1748,ENT,1
1769,EQ,1
1791,EROS,1
1801,ESEA,1
1825,ESTA,1
1843,ETTX,1
1860,EVA,1
1865,EVFM,1
1868,EVI,1
1870,EVOK,1
1909,EXFO,1
1918,EXPI,1
1924,EYEG,1
1926,EYES,1
1940,FAMI,1
1955,FBIO,1
1963,FBRX,1
1973,FCEL,1
2012,FENG,1
2056,FINV,1
2101,FLL,1
2163,FNJN,1
2174,FONR,1
2211,FRO,1
2214,FRSX,1
2220,FSFG,1
2247,FTFT,1
2271,FUNC,1
2275,FUV,1
2285,FWP,1
2309,GAINL,1
2315,GARS,1
2316,GASS,1
2327,GBR,1
2331,GCAP,1
2359,GENE,1
2366,GEVO,1
2381,GHG,1
2411,GLG,1
2426,GMAB,1
2439,GNCA,1
2448,GNPX,1
2453,GNT,1
2480,GPP,1
2484,GRAM,1
2502,GRVY,1
2513,GSIT,1
2516,GSL,1
2536,GTT,1
2543,GV,1
2589,HCAP,1
2593,HCFT,1
2594,HCHC,1
2597,HCM,1
2598,HCR,1
2611,HEAR,1
2640,HHT,1
2647,HIL,1
2667,HMI,1
2675,HNNA,1
2676,HNP,1
2708,HROW,1
2713,HSDT,1
2728,HTGM,1
2741,HUGE,1
2771,HYRE,1
2828,ICAD,1
2829,ICBK,1
2837,ICLK,1
2839,ICMB,1
2856,IDXG,1
2860,IEA,1
2861,IEC,1
2883,IGC,1
2928,IMMP,1
2933,IMTE,1
2935,IMV,1
2946,INFI,1
