,symbol,cluster
6,AAN,28
9,AAP,28
31,ACA,28
91,ADT,28
92,ADTN,28
108,AEO,28
122,AFI,28
156,AGS,28
159,AGX,28
218,ALGT,28
240,ALTM,28
252,AMC,28
256,AMCX,28
269,AMN,28
277,AMRC,28
296,AN,28
301,ANDE,28
303,ANF,28
308,ANIP,28
358,ARCH,28
374,ARLO,28
375,ARLP,28
376,ARMK,28
393,ASC,28
406,ASPS,28
407,ASRT,28
434,ATRO,28
449,AVAV,28
459,AVNS,28
467,AVYA,28
518,BBBY,28
540,BBW,28
541,BBY,28
577,BECN,28
598,BGFV,28
611,BHC,28
619,BHR,28
638,BJ,28
641,BJRI,28
644,BKD,28
645,BKE,28
698,BNED,28
719,BOOT,28
744,BREW,28
810,BTU,28
816,BURL,28
820,BV,28
833,BXC,28
834,BXG,28
863,CAKE,28
864,CAL,28
870,CALX,28
871,CAMP,28
878,CAR,28
880,CARE,28
883,CARS,28
886,CASA,28
894,CATM,28
895,CATO,28
905,CBL,28
936,CCRN,28
959,CECE,28
965,CEIX,28
967,CELH,28
971,CENT,28
972,CENTA,28
976,CERC,28
1019,CHEF,28
1048,CHS,28
1056,CHUY,28
1068,CIGI,28
1090,CLCT,28
1126,CMLS,28
1128,CMPR,28
1143,CNK,28
1152,CNSL,28
1155,CNTY,28
1171,COLM,28
1177,CONN,28
1183,CORE,28
1188,COTY,28
1203,CPLG,28
1204,CPLP,28
1205,CPRI,28
1208,CPSI,28
1228,CRI,28
1233,CRMT,28
1235,CRNT,28
1242,CRTO,28
1256,CSIQ,28
1262,CSTE,28
1265,CSV,28
1270,CTB,28
1277,CTL,28
1280,CTRA,28
1282,CTRN,28
1305,CVGW,28
1310,CVTI,28
1319,CWH,28
1338,CYD,28
1339,CYH,28
1347,DAKT,28
1374,DCO,28
1385,DDS,28
1390,DECK,28
1408,DFIN,28
1442,DIN,28
1445,DISCA,28
1447,DISCK,28
1448,DISH,28
1461,DKS,28
1470,DLTH,28
1471,DLTR,28
1517,DRI,28
1527,DS,28
1611,EB,28
1614,EBF,28
1615,EBIX,28
1632,ECOM,28
1667,EEX,28
1684,EGLE,28
1690,EHC,28
1716,ELY,28
1783,ERA,28
1787,ERI,28
1832,ETH,28
1836,ETM,28
1862,EVC,28
1875,EVRI,28
1917,EXPE,28
1923,EYE,28
1943,FARM,28
1959,FBM,28
2019,FF,28
2061,FIT,28
2068,FIVE,28
2075,FIZZ,28
2079,FL,28
2111,FLNT,28
2129,FLWS,28
2179,FORR,28
2181,FOSL,28
2199,FRAN,28
2216,FRTA,28
2251,FTK,28
2261,FTXD,28
2307,GAIA,28
2335,GCI,28
2336,GCO,28
2341,GDEN,28
2351,GE,28
2358,GEN,28
2365,GES,28
2380,GHC,28
2390,GIII,28
2391,GIL,28
2414,GLL,28
2430,GME,28
2438,GNC,28
2442,GNK,28
2463,GOLF,28
2498,GRPN,28
2515,GSKY,28
2532,GTN,28
2535,GTS,28
2537,GTX,28
2561,HA,28
2565,HAIN,28
2581,HBI,28
2642,HIBB,28
2648,HIMX,28
2656,HLF,28
2666,HMHC,28
2671,HMTV,28
2673,HNGR,28
2679,HOFT,28
2704,HRB,28
2736,HTZ,28
2740,HUD,28
2745,HURC,28
2751,HVT,28
2776,HZN,28
2778,HZO,28
2869,IEP,28
2870,IESC,28
2923,IMAX,28
2926,IMKTA,28
2929,IMMR,28
2966,INSW,28
2970,INTL,28
2974,INWK,28
2987,IPG,28
3053,IVC,28
3091,JACK,28
3095,JAX,28
3099,JBLU,28
3100,JBSS,28
3143,JILL,28
3177,JOUT,28
3211,JWN,28
3223,KBAL,28
3239,KE,28
3240,KELYA,28
3273,KMX,28
3311,KSS,28
3317,KTOS,28
3344,LAWS,28
3347,LB,28
3352,LBTYA,28
3354,LBTYK,28
3368,LE,28
3391,LGF-A,28
3405,LILAK,28
3426,LMAT,28
3449,LOCO,28
3472,LRN,28
3479,LSXMA,28
3483,LTHM,28
3485,LTRPA,28
3495,LXU,28
3501,LZB,28
3502,M,28
3511,MANU,28
3518,MAT,28
3527,MBIN,28
3533,MBUU,28
3543,MCFT,28
3554,MCS,28
3557,MD,28
3568,MDP,28
3570,MDRX,28
3578,MED,28
3586,MESA,28
3609,MG,28
3620,MGPI,28
3683,MMYT,28
3688,MNK,28
3695,MNRO,28
3698,MO,28
3718,MOV,28
3742,MSB,28
3751,MSGN,28
3799,MUSA,28
3846,NAT,28
3874,NDLS,28
3918,NGVC,28
3961,NNBR,28
3982,NPK,28
4042,NUS,28
4050,NVEC,28
4075,NXST,28
4101,OCN,28
4108,ODP,28
4117,OFIX,28
4118,OFLX,28
4136,OLLI,28
4144,OMI,28
4149,ONDK,28
4159,OPCH,28
4180,ORBC,28
4193,OSG,28
4249,PARR,28
4271,PBPB,28
4301,PDCO,28
4325,PENN,28
4396,PINC,28
4413,PKOH,28
4419,PLAY,28
4422,PLCE,28
4437,PLUS,28
4497,PRDO,28
4509,PRMW,28
4528,PRTY,28
4534,PSCC,28
4535,PSCD,28
4552,PSMT,28
4670,QRTEA,28
4680,QUAD,28
4691,RAD,28
4700,RBBN,28
4713,RCII,28
4715,RCKY,28
4724,RDFN,28
4726,RDI,28
4743,REGI,28
4761,REV,28
4765,REX,28
4769,REZI,28
4778,RFP,28
4788,RGR,28
4789,RGS,28
4791,RH,28
4797,RICK,28
4819,RL,28
4820,RLGT,28
4822,RLH,28
4844,RNET,28
4873,ROST,28
4899,RTIX,28
4908,RUTH,28
4956,SAH,28
4960,SALT,28
4970,SAVE,28
4971,SB,28
4977,SBGI,28
4980,SBLK,28
5020,SCOR,28
5025,SCSC,28
5026,SCVL,28
5069,SFM,28
5088,SGRY,28
5093,SHEN,28
5096,SHLO,28
5099,SHOO,28
5115,SIG,28
5116,SIGA,28
5121,SILC,28
5187,SMHB,28
5202,SMPL,28
5207,SNBR,28
5247,SONO,28
5283,SPOK,28
5295,SPTN,28
5298,SPWR,28
5343,SSP,28
5349,SSTK,28
5356,STAY,28
5373,STNG,28
5380,STRL,28
5400,SUP,28
5440,SYX,28
5448,TACO,28
5462,TAST,28
5470,TBF,28
5479,TBT,28
5494,TCS,28
5528,TESS,28
5530,TEVA,28
5541,TGI,28
5544,TGP,28
5546,TGT,28
5551,THC,28
5564,THS,28
5573,TISI,28
5575,TJX,28
5589,TLRD,28
5594,TLYS,28
5606,TMV,28
5623,TPC,28
5631,TPR,28
5639,TRC,28
5647,TRIP,28
5669,TRUE,28
5683,TSCO,28
5709,TUP,28
5716,TVTY,28
5718,TWI,28
5737,TYO,28
5740,TZOO,28
5741,UA,28
5742,UAA,28
5745,UAL,28
5771,UEIC,28
5776,UFI,28
5789,UHAL,28
5802,ULTA,28
5823,UPWK,28
5825,URBN,28
5832,USAK,28
5833,USAP,28
5851,USM,28
5854,USNA,28
5863,USX,28
5877,UUUU,28
5916,VEC,28
5982,VLGEA,28
5995,VNCE,28
5996,VNE,28
6013,VRA,28
6015,VRCA,28
6024,VRRM,28
6025,VRS,28
6031,VRTV,28
6042,VSTO,28
6085,WATT,28
6109,WERN,28
6121,WHG,28
6127,WIFI,28
6141,WLDN,28
6157,WPG,28
6159,WPRT,28
6167,WSC,28
6169,WSM,28
6193,WW,28
6198,WWW,28
6257,XRT,28
6276,YCS,28
6289,YRCW,28
