,symbol,cluster
103,AEG,16
125,AFK,16
305,ANGL,16
333,APO,16
448,AVAL,16
505,BAP,16
537,BBU,16
539,BBVA,16
546,BCE,16
588,BFIT,16
618,BHP,16
655,BKLN,16
657,BKNG,16
689,BMO,16
706,BNS,16
780,BSJK,16
781,BSJL,16
782,BSJM,16
783,BSJN,16
784,BSJO,16
785,BSJP,16
795,BSMX,16
806,BTI,16
813,BUD,16
857,CAE,16
862,CAJ,16
885,CARZ,16
960,CEE,16
1009,CHA,16
1035,CHL,16
1053,CHT,16
1062,CIB,16
1112,CM,16
1142,CNI,16
1181,COPX,16
1193,CP,16
1199,CPER,16
1226,CRH,16
1292,CUBA,16
1325,CX,16
1371,DBV,16
1655,EEA,16
1717,EMB,16
1724,EMHY,16
1736,ENB,16
1742,ENOR,16
1751,ENZL,16
1762,EPOL,16
1766,EPU,16
1788,ERIC,16
1793,ERUS,16
1902,EWW,16
1939,FALN,16
1970,FCAU,16
1989,FDIV,16
1996,FDTS,16
2008,FEMB,16
2013,FEO,16
2050,FID,16
2108,FLMX,16
2120,FLRU,16
2144,FMS,16
2146,FMX,16
2241,FTAI,16
2287,FXC,16
2305,GAA,16
2386,GHYB,16
2460,GOGL,16
2487,GREK,16
2555,GXG,16
2559,GYLD,16
2582,HBM,16
2619,HEQ,16
2682,HOLI,16
2761,HYDB,16
2763,HYG,16
2764,HYGH,16
2765,HYHG,16
2767,HYLB,16
2769,HYLS,16
2770,HYLV,16
2774,HYXE,16
2775,HYXU,16
2781,IAE,16
2782,IAF,16
2815,IBN,16
2836,ICL,16
2840,ICOL,16
2846,IDHD,16
2882,IGBH,16
2886,IGHG,16
2898,IHG,16
2902,IHY,16
2951,INFY,16
2952,ING,16
2986,IPFF,16
3071,IX,16
3139,JHX,16
3145,JJC,16
3171,JNK,16
3184,JPHY,16
3221,KB,16
3244,KEP,16
3451,LOGI,16
3456,LOW,16
3467,LQDH,16
3590,MEXX,16
3593,MFC,16
3597,MFG,16
3793,MUFG,16
3818,MXF,16
3955,NMR,16
3973,NORW,16
4021,NTR,16
4179,ORAN,16
4359,PGAL,16
4374,PHB,16
4555,PSO,16
4571,PTEU,16
4629,QAT,16
4690,RACE,16
4706,RBS,16
4712,RCI,16
4750,REMX,16
4779,RFUN,16
4811,RIO,16
4826,RLY,16
4896,RSX,16
4897,RSXJ,16
4907,RUSL,16
4936,RY,16
4992,SCCO,16
5039,SDIV,16
5065,SFHY,16
5094,SHG,16
5107,SHYG,16
5108,SHYL,16
5145,SJNK,16
5147,SKM,16
5156,SLF,16
5221,SNP,16
5268,SPHY,16
5308,SQM,16
5324,SRLN,16
5338,SSL,16
5371,STN,16
5424,SWZ,16
5497,TD,16
5515,TECK,16
5537,TGB,16
5587,TLK,16
5595,TM,16
5659,TRP,16
5667,TRTY,16
5700,TTM,16
5712,TV,16
5743,UAE,16
5824,URA,16
5845,USHY,16
5984,VLRS,16
6067,VWOB,16
6090,WBII,16
6093,WBK,16
6114,WFHY,16
6136,WIT,16
6158,WPP,16
6283,YLD,16
