,symbol,cluster
14,AAXJ,14
44,ACH,14
86,ADRE,14
101,AEF,14
131,AFTY,14
169,AIA,14
399,ASHR,14
400,ASHS,14
401,ASHX,14
418,ATHM,14
496,BABA,14
624,BICK,14
648,BKF,14
846,BZUN,14
858,CAF,14
958,CEA,14
985,CEZ,14
1013,CHAU,14
1024,CHIC,14
1030,CHIM,14
1034,CHIX,14
1039,CHN,14
1040,CHNA,14
1055,CHU,14
1157,CNYA,14
1217,CQQQ,14
1330,CXSE,14
1397,DEM,14
1425,DGRE,14
1429,DGS,14
1443,DINT,14
1638,EDC,14
1644,EDIV,14
1646,EDOG,14
1650,EDU,14
1657,EELV,14
1658,EEM,14
1659,EEMA,14
1660,EEMD,14
1661,EEMO,14
1662,EEMS,14
1663,EEMV,14
1664,EEMX,14
1693,EIDO,14
1720,EMDV,14
1722,EMF,14
1723,EMFM,14
1732,EMQQ,14
1759,EPI,14
1805,ESGE,14
1898,EWS,14
1899,EWT,14
1903,EWX,14
1904,EWY,14
1928,EZA,14
2007,FEM,14
2009,FEMS,14
2081,FLAX,14
2087,FLCH,14
2094,FLHK,14
2098,FLIN,14
2114,FLQE,14
2127,FLTW,14
2155,FNDE,14
2162,FNI,14
2185,FPA,14
2195,FPXI,14
2291,FXI,14
2313,GAMR,14
2357,GEM,14
2432,GMF,14
2545,GVAL,14
2554,GXC,14
2574,HAUZ,14
2613,HEEM,14
2629,HEWY,14
2730,HTHT,14
2855,IDX,14
2867,IEMG,14
2877,IFN,14
2904,IIF,14
2939,INCO,14
2941,INDA,14
2945,INDY,14
2997,IQ,14
3109,JD,14
3124,JHEM,14
3181,JPEM,14
3222,KBA,14
3243,KEMQ,14
3250,KFYP,14
3287,KOL,14
3293,KORU,14
3320,KURE,14
3322,KWEB,14
3387,LFC,14
3460,LPL,14
3544,MCHI,14
3596,MFEM,14
3707,MOMO,14
4014,NTES,14
4033,NUEM,14
4091,OBOR,14
4363,PGJ,14
4395,PIN,14
4415,PKX,14
4608,PXH,14
4639,QEMM,14
4843,RNEM,14
4851,ROAM,14
4997,SCHE,14
5035,SDEM,14
5128,SINA,14
5188,SMIN,14
5235,SOHU,14
5260,SPEM,14
5490,TCOM,14
5503,TDF,14
5556,THD,14
5582,TLEH,14
5593,TLTE,14
5689,TSM,14
5721,TWN,14
5773,UEVM,14
5805,UMC,14
5918,VEDL,14
5966,VIPS,14
5999,VNM,14
6066,VWO,14
6187,WUBA,14
6211,XCEM,14
6262,XSOE,14
6294,YY,14
6321,ZNH,14
6327,ZTO,14
