,symbol,cluster
16,ABB,30
70,ACWX,30
517,BBAX,30
1063,CID,30
1081,CIZ,30
1320,CWI,30
1356,DAX,30
1362,DBEU,30
1363,DBEZ,30
1364,DBGR,30
1387,DDWM,30
1392,DEEF,30
1405,DFE,30
1441,DIM,30
1469,DLS,30
1491,DNL,30
1501,DOO,30
1526,DRW,30
1569,DVYA,30
1581,DWX,30
1587,DXGE,30
1640,EDEN,30
1668,EFAD,30
1669,EFAS,30
1670,EFAV,30
1671,EFAX,30
1674,EFG,30
1676,EFO,30
1680,EFV,30
1804,ESGD,30
1848,EUDG,30
1849,EUFN,30
1852,EUMV,30
1854,EURL,30
1858,EUSC,30
1885,EWD,30
1886,EWG,30
1887,EWGS,30
1888,EWI,30
1891,EWK,30
1893,EWN,30
1894,EWO,30
1895,EWP,30
1896,EWQ,30
1900,EWU,30
1901,EWUS,30
1933,EZU,30
1985,FDD,30
1986,FDEU,30
1995,FDT,30
2015,FEUL,30
2016,FEUZ,30
2018,FEZ,30
2025,FFEU,30
2039,FGD,30
2040,FGM,30
2051,FIDI,30
2053,FIEE,30
2067,FIVA,30
2074,FIYY,30
2092,FLGB,30
2154,FNDC,30
2236,FSZ,30
2301,FYLD,30
2367,GF,30
2509,GSEU,30
2553,GWX,30
2575,HAWX,30
2602,HDAW,30
2603,HDEF,30
2607,HDMV,30
2623,HEWG,30
2632,HFXI,30
2711,HSBC,30
2841,ICOW,30
2845,IDEV,30
2849,IDLV,30
2852,IDOG,30
2863,IEFA,30
2875,IFGL,30
2892,IGRO,30
2932,IMOM,30
2934,IMTM,30
2990,IPKW,30
2998,IQDG,30
2999,IQDY,30
3019,ISCF,30
3052,IVAL,30
3056,IVLU,30
3077,IXUS,30
3084,IYLD,30
3264,KLDW,30
3595,MFDX,30
3715,MOTI,30
3807,MVIN,30
3908,NFRA,30
4031,NUDM,30
4113,OEUR,30
4310,PDN,30
4332,PEX,30
4393,PID,30
4400,PIO,30
4403,PIZ,30
4587,PUK,30
4607,PXF,30
4627,QAI,30
4638,QEFA,30
4646,QINT,30
4659,QMN,30
4773,RFDI,30
4774,RFEU,30
4857,RODM,30
4932,RWX,30
4996,SCHC,30
4998,SCHF,30
5012,SCID,30
5031,SCZ,30
5036,SDG,30
5183,SMEZ,30
5259,SPDW,30
5261,SPEU,30
5592,TLTD,30
5793,UIVM,30
5821,UPV,30
5915,VEA,30
5933,VEU,30
5947,VGK,30
5961,VIGI,30
6039,VSS,30
6070,VXUS,30
6075,VYMI,30
6101,WDIV,30
6160,WPS,30
6301,ZDEU,30
