,symbol,cluster
59,ACSG,5
368,ARKF,5
506,BAPR,5
538,BBUS,5
639,BJAN,5
702,BNKU,5
815,BUL,5
818,BUY,5
998,CFXA,5
1025,CHIE,5
1026,CHIH,5
1027,CHII,5
1028,CHIK,5
1029,CHIL,5
1031,CHIR,5
1032,CHIS,5
1033,CHIU,5
1102,CLOU,5
1476,DMDV,5
1504,DOW,5
1558,DURA,5
1594,DYNF,5
1608,EASG,5
1616,EBIZ,5
1734,EMSG,5
1756,EPAC,5
1792,ERSX,5
1856,EURZ,5
1884,EWCO,5
1987,FDEV,5
1992,FDNI,5
2069,FIVG,5
2090,FLEU,5
2095,FLHY,5
2099,FLIY,5
2102,FLLA,5
2117,FLQM,5
2122,FLSA,5
2124,FLSW,5
2131,FLZA,5
2157,FNGO,5
2203,FRDM,5
2228,FSMD,5
2262,FTXG,5
2329,GBUY,5
2339,GDAT,5
2343,GDMA,5
2344,GDNA,5
2370,GFIN,5
2388,GIGE,5
2427,GMAN,5
2447,GNOM,5
2456,GOAT,5
2573,HAUD,5
2624,HEWI,5
2626,HEWL,5
2684,HOMZ,5
2762,HYDW,5
2773,HYUP,5
2802,IBHE,5
2854,IDRV,5
2994,IPOS,5
3001,IQIN,5
3022,ISDX,5
3023,ISEM,5
3031,ISZE,5
3047,IUS,5
3050,IUSS,5
3123,JHCS,5
3180,JPED,5
3185,JPLS,5
3252,KGRN,5
3262,KLCD,5
3270,KMED,5
3381,LEND,5
3553,MCRO,5
3888,NERD,5
4100,OCIO,5
4143,OMFS,5
4247,PAPR,5
4262,PBDM,5
4274,PBSM,5
4278,PBUS,5
4333,PEXL,5
4386,PHYL,5
4404,PJAN,5
4476,PPDM,5
4477,PPEM,5
4483,PPMC,5
4541,PSET,5
4576,PTIN,5
4593,PVAL,5
4651,QLS,5
4668,QRFT,5
4687,QVM,5
4855,RODE,5
4870,ROSC,5
4916,RWCD,5
4917,RWDC,5
4918,RWED,5
4919,RWGV,5
4920,RWIU,5
4925,RWLS,5
4929,RWSL,5
4930,RWUI,5
4931,RWVG,5
4941,RYLD,5
5015,SCIX,5
5073,SFYF,5
5074,SFYX,5
5222,SNPE,5
5279,SPMV,5
5300,SPXE,5
5302,SPXN,5
5303,SPXV,5
5345,SSPY,5
5465,TAWK,5
5533,TFIV,5
5621,TPAY,5
5626,TPHD,5
5630,TPLC,5
5653,TRND,5
5705,TTTN,5
5747,UAPR,5
5794,UJAN,5
5795,UJB,5
5920,VEGA,5
6014,VRAI,5
6036,VSL,5
6082,WANT,5
6128,WIL,5
6152,WOMN,5
6210,XBUY,5
6212,XCOM,5
6234,XLSR,5
6278,YETI,5
6284,YLDE,5
6308,ZIG,5
