,symbol,cluster
85,ADPT,20
132,AFYA,20
185,AIRTP,20
200,AKRO,20
349,AQNB,20
414,ATCX,20
463,AVTR,20
513,BAUG,20
530,BBIO,20
560,BCYC,20
595,BFYT,20
736,BPYPO,20
738,BPYU,20
756,BROG,20
988,CFB,20
1041,CHNGU,20
1113,CMBM,20
1135,CNBS,20
1234,CRNC,20
1245,CRWD,20
1263,CSTL,20
1287,CTVA,20
1367,DBMF,20
1378,DCUE,20
1384,DDOG,20
1434,DHCNI,20
1486,DMTK,20
1505,DOYU,20
1539,DT,20
1633,ECOW,20
1834,ETI-P,20
2065,FITBP,20
2110,FLNG,20
2219,FSEA,20
2268,FULC,20
2354,GECCN,20
2492,GRN,20
2521,GSX,20
2525,GTEC,20
2653,HKIB,20
2655,HLAL,20
2779,IAA,20
2801,IBHD,20
2851,IDNA,20
2879,IFS,20
2918,IJUL,20
2936,IMVT,20
2938,INBKZ,20
3039,ITMR,20
3058,IVOL,20
3119,JFU,20
3166,JMPNL,20
3266,KLR,20
3307,KRTX,20
3308,KRUS,20
3310,KSCD,20
3313,KTB,20
3409,LINX,20
3564,MDLA,20
3580,MEDS,20
3642,MIST,20
3710,MORF,20
3761,MTA,20
3813,MWK,20
3892,NET,20
3899,NEWTL,20
3905,NFH,20
3948,NMCO,20
3974,NOVA,20
3998,NRUC,20
4058,NVST,20
4088,OBLG,20
4182,ORCC,20
4237,PAE,20
4254,PAUG,20
4265,PBFS,20
4317,PECK,20
4361,PGEN,20
4378,PHGE,20
4398,PING,20
4426,PLIN,20
4470,POTX,20
4515,PROS,20
4530,PRVL,20
4554,PSNL,20
4582,PTON,20
4653,QLV,20
4731,RDOG,20
4739,REAL,20
4806,RILYN,20
4807,RILYO,20
4829,RMBI,20
4836,RMM,20
4892,RSF,20
4910,RVLV,20
4991,SCCB,20
5033,SDC,20
5211,SNDL,20
5319,SREA,20
5374,STOK,20
5384,STSA,20
5422,SWTX,20
5476,TBND,20
5554,THCB,20
5614,TOKE,20
5682,TSCBP,20
5692,TT,20
5729,TXG,20
5749,UAUG,20
5907,VCIF,20
5930,VERY,20
5967,VIR,20
5972,VIST,20
6063,VVNT,20
6155,WORK,20
6168,WSG,20
6183,WTRG,20
6185,WTRU,20
6220,XGN,20
6310,ZIONL,20
6312,ZIONO,20
