,symbol,cluster
22,ABEV,31
157,AGT,31
272,AMOV,31
293,AMX,31
359,ARCO,31
491,AZUL,31
500,BAK,31
516,BBAR,31
522,BBD,31
524,BBDO,31
548,BCH,31
682,BMA,31
745,BRF,31
746,BRFS,31
762,BRZU,31
765,BSBR,31
901,CBD,31
1066,CIG,31
1224,CRESY,31
1344,CZZ,31
1618,EBND,31
1628,ECH,31
1707,ELD,31
1713,ELP,31
1725,EMIF,31
1790,ERJ,31
1905,EWZ,31
1906,EWZS,31
1966,FBZ,31
2083,FLBR,31
2109,FLN,31
2132,FM,31
2374,GGAL,31
2375,GGB,31
2461,GOL,31
3045,ITUB,31
3284,KOF,31
3379,LEMB,31
3484,LTM,31
4243,PAM,31
4272,PBR,31
4986,SBS,31
5111,SID,31
5402,SUPV,31
5545,TGS,31
5691,TSU,31
5788,UGP,31
5889,VALE,31
5973,VIV,31
