,symbol,cluster
18,ABC,35
27,ABT,35
41,ACGL,35
53,ACN,35
61,ACT,35
69,ACWV,35
84,ADP,35
94,ADUS,35
126,AFL,35
190,AJG,35
223,ALL,35
253,AMCA,35
311,ANTM,35
314,AOK,35
316,AON,35
322,APD,35
394,ASET,35
430,ATR,35
499,BAH,35
514,BAX,35
584,BFAM,35
676,BLL,35
694,BMY,35
750,BRKR,35
755,BRO,35
802,BSX,35
832,BX,35
855,CACI,35
860,CAH,35
890,CASY,35
923,CCEP,35
927,CCK,35
977,CERN,35
1008,CGW,35
1018,CHE,35
1060,CI,35
1074,CINF,35
1119,CMCSA,35
1121,CMD,35
1144,CNMD,35
1178,COO,35
1187,COST,35
1201,CPI,35
1206,CPRT,35
1231,CRL,35
1243,CRVL,35
1269,CTAS,35
1283,CTSH,35
1298,CURE,35
1318,CWEN,35
1322,CWS,35
1350,DALT,35
1382,DDIV,35
1394,DEF,35
1399,DEO,35
1410,DFND,35
1431,DGX,35
1436,DHR,35
1444,DIS,35
1561,DVA,35
1630,ECL,35
1656,EEFT,35
1681,EFX,35
1703,EL,35
1746,ENSG,35
1879,EVX,35
1880,EW,35
1976,FCN,35
1994,FDS,35
2033,FFTG,35
2044,FHLC,35
2058,FIS,35
2060,FISV,35
2103,FLLV,35
2233,FSTA,35
2252,FTLB,35
2253,FTLS,35
2289,FXG,35
2290,FXH,35
2304,G,35
2389,GII,35
2431,GMED,35
2435,GMOM,35
2478,GPN,35
2491,GRMN,35
2503,GRX,35
2514,GSK,35
2563,HAE,35
2586,HCA,35
2683,HOLX,35
2705,HRC,35
2707,HRL,35
2714,HSIC,35
2746,HURN,35
2749,HUSV,35
2786,IART,35
2838,ICLR,35
2857,IDXX,35
2865,IEHS,35
2897,IHF,35
2899,IHI,35
2948,INFO,35
2972,INTU,35
3005,IQV,35
3032,IT,35
3073,IXJ,35
3082,IYH,35
3083,IYK,35
3130,JHMH,35
3134,JHMS,35
3170,JNJ,35
3231,KBWP,35
3324,KXI,35
3364,LDOS,35
3397,LGLV,35
3400,LH,35
3406,LIN,35
3425,LLY,35
3438,LMT,35
3443,LNGR,35
3489,LVHB,35
3517,MASI,35
3540,MCD,35
3548,MCK,35
3571,MDT,35
3579,MEDP,35
3678,MMS,35
3679,MMSI,35
3696,MNST,35
3734,MRK,35
3753,MSI,35
3768,MTD,35
3817,MXDU,35
3881,NEED,35
3937,NKE,35
3967,NOC,35
4057,NVS,35
4178,ORA,35
4183,ORCL,35
4187,ORLY,35
4209,OUSA,35
4257,PAWZ,35
4258,PAYX,35
4268,PBJ,35
4339,PFE,35
4347,PFI,35
4354,PFM,35
4367,PGR,35
4467,POOL,35
4469,POST,35
4478,PPH,35
4495,PRAH,35
4546,PSL,35
4549,PSMC,35
4551,PSMM,35
4738,RE,35
4833,RMD,35
4861,ROKT,35
4863,ROL,35
4868,ROP,35
4893,RSG,35
4934,RXL,35
4940,RYH,35
4989,SBUX,35
5011,SCI,35
5103,SHW,35
5117,SIGI,35
5158,SLGN,35
5219,SNN,35
5263,SPGI,35
5359,STE,35
5412,SWAN,35
5431,SYK,35
5436,SYNH,35
5475,TBLU,35
5535,TFX,35
5566,THW,35
5605,TMUS,35
5615,TOLZ,35
5645,TRI,35
5668,TRU,35
5671,TRV,35
5697,TTEK,35
5784,UGE,35
5790,UHS,35
5799,UL,35
5810,UN,35
5848,USLB,35
5853,USMV,35
5867,UTG,35
5872,UTRN,35
5895,VAR,35
5941,VFMV,35
5955,VHT,35
6026,VRSK,35
6033,VSDA,35
6038,VSMV,35
6084,WAT,35
6089,WBIG,35
6091,WBIL,35
6097,WCN,35
6100,WDFC,35
6148,WMT,35
6173,WST,35
6231,XLP,35
6236,XLV,35
6239,XMLV,35
6254,XRAY,35
6256,XRLV,35
6274,Y,35
6282,YLCO,35
6292,YUM,35
6297,ZBH,35
6329,ZTS,35
