,symbol,cluster
30,AC,27
54,ACNB,27
145,AGM,27
211,ALCO,27
230,ALOT,27
247,AMAL,27
271,AMNB,27
283,AMSF,27
286,AMTB,27
365,ARGO,27
373,ARL,27
381,AROW,27
422,ATLO,27
510,BATRA,27
511,BATRK,27
536,BBSI,27
543,BCBP,27
551,BCML,27
585,BFC,27
587,BFIN,27
593,BFST,27
605,BGSF,27
610,BHB,27
681,BLX,27
717,BOMN,27
732,BPRN,27
777,BSET,27
801,BSVN,27
825,BWFG,27
868,CALM,27
888,CASI,27
889,CASS,27
908,CBNK,27
919,CCB,27
924,CCF,27
1037,CHMG,27
1061,CIA,27
1079,CIVB,27
1080,CIX,27
1088,CLBK,27
1120,CMCT,27
1134,CNBKA,27
1179,COOP,27
1258,CSLT,27
1297,CULP,27
1307,CVLY,27
1343,CZNC,27
1419,DGICA,27
1454,DJCO,27
1622,EBTC,27
1695,EIG,27
1712,ELOX,27
1727,EML,27
1798,ESCA,27
1808,ESGR,27
1820,ESQ,27
1828,ESXB,27
1861,EVBN,27
1931,EZPW,27
1957,FBIZ,27
1967,FC,27
1969,FCAP,27
1972,FCCY,27
1984,FDBC,27
2030,FFNW,27
2038,FGBI,27
2130,FLXS,27
2142,FMNB,27
2149,FNCB,27
2161,FNHC,27
2165,FNLC,27
2168,FNWB,27
2191,FPI,27
2200,FRBA,27
2212,FRPH,27
2217,FSBW,27
2280,FVCB,27
2311,GALT,27
2324,GBL,27
2325,GBLI,27
2332,GCBC,27
2346,GDP,27
2361,GEOS,27
2408,GLDD,27
2567,HALL,27
2579,HBB,27
2580,HBCP,27
2583,HBMD,27
2595,HCI,27
2596,HCKT,27
2677,HNRG,27
2685,HONE,27
2709,HRTG,27
2715,HSII,27
2725,HTBI,27
2753,HWBK,27
2756,HWKN,27
2834,ICFI,27
2895,IHC,27
2906,III,27
2983,IPAR,27
3030,ISTR,27
3037,ITIC,27
3258,KINS,27
3357,LCNB,27
3360,LCUT,27
3384,LEVL,27
3538,MCB,27
3599,MFIN,27
3604,MFNC,27
3666,MLR,27
3669,MLVF,27
3670,MMAC,27
3722,MPB,27
3736,MRLN,27
3803,MVBF,27
3832,MYRG,27
3847,NATH,27
3859,NBN,27
3865,NC,27
3913,NGHC,27
3921,NHC,27
3940,NKSH,27
3942,NL,27
3969,NODK,27
3993,NRIM,27
4066,NWLI,27
4067,NWPX,27
4090,OBNK,27
4106,ODC,27
4158,OOMA,27
4176,OPY,27
4212,OVBC,27
4216,OVLY,27
4267,PBIP,27
4282,PCB,27
4307,PDLB,27
4315,PEBK,27
4337,PFBI,27
4392,PICO,27
4407,PJT,27
4411,PKE,27
4431,PLPC,27
4493,PRA,27
4503,PRGX,27
4516,PROV,27
4585,PTVCB,27
4594,PVBC,27
4622,PZN,27
4701,RBCAA,27
4705,RBNC,27
4781,RGCO,27
4823,RLI,27
4827,RM,27
4954,SAFT,27
4961,SAMG,27
4974,SBBX,27
4988,SBT,27
5057,SENEA,27
5060,SERV,27
5076,SGA,27
5078,SGC,27
5112,SIEB,27
5154,SLCT,27
5177,SMBC,27
5196,SMMF,27
5281,SPNE,27
5329,SRT,27
5358,STC,27
5383,STRS,27
5388,STXB,27
5437,SYNL,27
5477,TBNK,27
5486,TCFC,27
5571,TIPT,27
5624,TPCO,27
5640,TREC,27
5656,TRNS,27
5679,TSBK,27
5736,TYME,27
5770,UEC,27
5775,UFCS,27
5778,UFPT,27
5811,UNB,27
5815,UNTY,27
5849,USLM,27
5871,UTMD,27
5879,UVV,27
5892,VALU,27
6034,VSEC,27
6130,WINA,27
6143,WLFC,27
6150,WNEB,27
