,symbol,cluster
55,ACP,3
66,ACV,3
130,AFT,3
172,AIF,3
241,ALTS,3
362,ARDC,3
468,AWF,3
581,BEP,3
600,BGH,3
606,BGT,3
607,BGX,3
632,BIP,3
674,BLHY,3
686,BME,3
787,BSL,3
812,BTZ,3
826,BWG,3
903,CBH,3
922,CCD,3
963,CEFS,3
1057,CHW,3
1059,CHY,3
1098,CLM,3
1225,CRF,3
1380,DDF,3
1413,DFP,3
1433,DHC,3
1506,DPG,3
1531,DSL,3
1536,DSU,3
1575,DWMC,3
1627,ECF,3
1639,EDD,3
1641,EDF,3
1642,EDI,3
1673,EFF,3
1675,EFL,3
1678,EFR,3
1691,EHI,3
1719,EMD,3
1752,EOD,3
1784,ERC,3
1786,ERH,3
1829,ETB,3
1835,ETJ,3
1864,EVF,3
1866,EVG,3
1878,EVV,3
1950,FAX,3
1978,FCO,3
2023,FFC,3
2084,FLC,3
2172,FOF,3
2189,FPEI,3
2190,FPF,3
2197,FRA,3
2218,FSD,3
2258,FTSL,3
2265,FTXR,3
2338,GCV,3
2342,GDL,3
2377,GGM,3
2378,GGN,3
2385,GHY,3
2394,GIM,3
2421,GLU,3
2440,GNE,3
2459,GOF,3
2488,GRF,3
2542,GUT,3
2631,HFRO,3
2644,HIE,3
2650,HIX,3
2678,HNW,3
2693,HPF,3
2694,HPI,3
2698,HPS,3
2710,HRZN,3
2766,HYI,3
2768,HYLD,3
2891,IGR,3
2949,INFR,3
3020,ISD,3
3118,JFR,3
3120,JGH,3
3122,JHB,3
3126,JHI,3
3190,JPS,3
3196,JQC,3
3197,JRI,3
3201,JSD,3
3365,LDP,3
3551,MCR,3
3594,MFD,3
3608,MFV,3
3747,MSD,3
3872,NCV,3
3873,NCZ,3
4081,NYMTN,3
4170,OPP,3
4219,OXLC,3
4222,OXSQ,3
4283,PCEF,3
4287,PCI,3
4289,PCM,3
4290,PCN,3
4306,PDI,3
4312,PDT,3
4351,PFL,3
4366,PGP,3
4370,PGZ,3
4376,PHD,3
4381,PHK,3
4412,PKO,3
4484,PPR,3
4485,PPT,3
4498,PREF,3
4542,PSF,3
4581,PTNR,3
4586,PTY,3
4721,RCS,3
4801,RIGS,3
4802,RILYG,3
4803,RILYH,3
4808,RILYZ,3
4813,RIV,3
4842,RNDV,3
4993,SCD,3
5217,SNLN,3
5447,TAC,3
5586,TLI,3
5866,UTF,3
5924,VEON,3
5945,VGI,3
6044,VTA,3
6064,VVR,3
6103,WEA,3
6119,WHF,3
6295,YYY,3
6328,ZTR,3
