,symbol,cluster
19,ABCB,15
28,ABTX,15
35,ACBI,15
105,AEL,15
118,AFG,15
288,AMTD,15
417,ATH,15
441,AUB,15
497,BAC,15
617,BHLB,15
643,BK,15
664,BKU,15
693,BMTC,15
711,BOCH,15
715,BOKF,15
727,BPFH,15
730,BPOP,15
749,BRKL,15
797,BSRR,15
808,BTO,15
817,BUSE,15
838,BXS,15
847,C,15
852,CAC,15
856,CADE,15
887,CASH,15
897,CATY,15
911,CBSH,15
914,CBTX,15
915,CBU,15
920,CCBG,15
931,CCNE,15
992,CFG,15
995,CFR,15
1015,CHCO,15
1078,CIT,15
1147,CNO,15
1148,CNOB,15
1161,COF,15
1168,COLB,15
1253,CSFL,15
1264,CSTR,15
1294,CUBI,15
1301,CVBF,15
1415,DFS,15
1509,DPST,15
1621,EBSB,15
1683,EGBN,15
1771,EQBK,15
1830,ETFC,15
1882,EWBC,15
1958,FBK,15
1960,FBMS,15
1961,FBNC,15
1971,FCBC,15
1977,FCNCA,15
2021,FFBC,15
2026,FFIC,15
2027,FFIN,15
2036,FFWM,15
2041,FHB,15
2045,FHN,15
2047,FIBK,15
2062,FITB,15
2097,FLIC,15
2135,FMBI,15
2148,FNB,15
2150,FNCL,15
2201,FRC,15
2210,FRME,15
2269,FULT,15
2404,GL,15
2506,GSBC,15
2548,GWB,15
2577,HBAN,15
2687,HOPE,15
2729,HTH,15
2732,HTLF,15
2804,IBKC,15
2816,IBOC,15
2827,IBTX,15
2864,IEFN,15
2937,INBK,15
2942,INDB,15
3018,ISBC,15
3081,IYG,15
3113,JEF,15
3186,JPM,15
3224,KBE,15
3229,KBWB,15
3232,KBWR,15
3248,KEY,15
3298,KRE,15
3348,LBAI,15
3420,LKFN,15
3440,LNC,15
3534,MBWM,15
3588,MET,15
3744,MSBI,15
3762,MTB,15
3903,NFBK,15
4010,NTB,15
4024,NTRS,15
4062,NWBI,15
4096,OCFC,15
4116,OFG,15
4141,OMF,15
4146,ONB,15
4227,OZK,15
4236,PACW,15
4260,PBCT,15
4316,PEBO,15
4336,PFBC,15
4356,PFS,15
4360,PGC,15
4454,PNFP,15
4505,PRI,15
4507,PRK,15
4529,PRU,15
4537,PSCF,15
4625,QABA,15
4632,QCRH,15
4699,RBB,15
4770,RF,15
4780,RGA,15
4815,RJF,15
4967,SASR,15
4975,SBCF,15
4982,SBNY,15
4987,SBSI,15
5009,SCHW,15
5063,SFBS,15
5070,SFNC,15
5227,SNV,15
5244,SONA,15
5334,SSB,15
5357,STBA,15
5365,STL,15
5386,STT,15
5469,TBBK,15
5472,TBK,15
5480,TCBI,15
5482,TCBK,15
5485,TCF,15
5531,TFC,15
5602,TMP,15
5650,TRMK,15
5663,TRST,15
5680,TSC,15
5757,UBSI,15
5760,UCBI,15
5808,UMPQ,15
5812,UNM,15
5835,USB,15
5878,UVSP,15
5936,VFH,15
5987,VLY,15
6078,WAFD,15
6080,WAL,15
6083,WASH,15
6094,WBS,15
6102,WDR,15
6112,WFC,15
6166,WSBC,15
6175,WTBA,15
6176,WTFC,15
6226,XLF,15
6309,ZION,15
