,symbol,cluster
371,ARKQ,24
372,ARKW,24
373,ARL,27
374,ARLO,28
375,ARLP,28
376,ARMK,28
377,ARMP,26
378,ARMR,23
379,ARNA,8
380,AROC,13
381,AROW,27
382,ARPO,1
383,ARQT,23
384,ARR,37
385,ARTL,25
386,ARTW,26
387,ARVN,7
388,ARW,32
389,ARWR,8
390,ARYAU,19
391,ARYBU,33
392,ASA,21
393,ASC,28
394,ASET,35
395,ASFI,26
396,ASG,22
397,ASGN,32
398,ASH,32
399,ASHR,14
400,ASHS,14
401,ASHX,14
402,ASIX,32
403,ASM,21
404,ASML,22
405,ASPN,1
406,ASPS,28
407,ASRT,28
408,ASRV,26
409,ASRVP,19
410,ASTC,26
411,ASTE,32
412,ASUR,7
413,ATCO,19
414,ATCX,20
415,ATEC,1
416,ATEN,7
417,ATH,15
418,ATHM,14
419,ATHX,8
420,ATI,32
421,ATIF,25
422,ATLO,27
423,ATMP,18
424,ATNI,37
425,ATNM,1
426,ATNX,8
427,ATO,12
428,ATOM,1
429,ATOS,1
430,ATR,35
431,ATRA,8
432,ATRC,7
433,ATRI,1
434,ATRO,28
435,ATRS,8
436,ATSG,32
437,ATTO,1
438,ATUS,7
439,ATV,1
440,ATVI,7
441,AUB,15
442,AUBAP,33
443,AUBN,26
444,AUDC,7
445,AUG,21
446,AUPH,8
447,AVA,11
448,AVAL,16
449,AVAV,28
450,AVB,17
451,AVCO,1
452,AVDE,23
453,AVDV,23
454,AVEM,23
455,AVGO,22
456,AVGR,1
457,AVID,7
458,AVLR,7
459,AVNS,28
460,AVNW,1
461,AVRO,8
462,AVT,32
463,AVTR,20
464,AVUS,23
465,AVUV,23
466,AVY,32
467,AVYA,28
468,AWF,3
469,AWI,37
470,AWK,12
471,AWP,37
472,AWR,11
473,AWTM,0
474,AXGN,7
475,AXGT,8
476,AXLA,25
477,AXNX,7
478,AXO,26
479,AXP,22
480,AXS,37
481,AXTA,32
482,AXU,21
483,AYLA,33
484,AYRO,33
485,AZAA,33
486,AZEK,33
487,AZN,7
488,AZO,37
489,AZRE,26
490,AZRX,1
491,AZUL,31
492,AZZ,32
493,B,32
494,BA,32
495,BAB,10
496,BABA,14
497,BAC,15
498,BAF,9
499,BAH,35
500,BAK,31
501,BAL,1
502,BAM,22
503,BAND,7
504,BANX,26
505,BAP,16
506,BAPR,5
507,BAR,21
508,BASI,26
509,BATL,23
510,BATRA,27
511,BATRK,27
512,BATT,22
513,BAUG,20
514,BAX,35
515,BB,7
516,BBAR,31
517,BBAX,30
518,BBBY,28
519,BBC,8
520,BBCA,22
521,BBCP,1
522,BBD,31
523,BBDC,37
524,BBDO,31
525,BBF,9
526,BBGI,1
527,BBH,8
528,BBI,26
529,BBIN,23
530,BBIO,20
531,BBJP,22
532,BBK,9
533,BBN,6
534,BBQ,1
535,BBSA,0
536,BBSI,27
537,BBU,16
538,BBUS,5
539,BBVA,16
540,BBW,28
541,BBY,28
542,BC,32
543,BCBP,27
544,BCD,4
545,BCDA,26
546,BCE,16
547,BCEI,13
548,BCH,31
549,BCLI,1
550,BCM,4
551,BCML,27
552,BCO,32
553,BCOM,1
554,BCOR,32
555,BCOW,25
556,BCPC,32
557,BCRX,8
558,BCSF,25
559,BCX,13
560,BCYC,20
561,BDC,32
562,BDCS,37
563,BDCX,33
564,BDCZ,23
565,BDEC,23
566,BDJ,22
567,BDL,19
568,BDN,17
569,BDR,26
570,BDRY,26
571,BDSI,8
572,BDTX,23
573,BDXB,33
574,BE,1
575,BEAM,23
576,BEAT,7
577,BECN,28
578,BEDU,1
579,BELFA,19
580,BEN,32
581,BEP,3
582,BERY,32
583,BEST,1
584,BFAM,35
585,BFC,27
586,BFEB,23
587,BFIN,27
588,BFIT,16
589,BFK,9
590,BFOR,2
591,BFRA,19
592,BFS,17
593,BFST,27
594,BFY,6
595,BFYT,20
596,BFZ,9
597,BG,32
598,BGFV,28
599,BGG,32
600,BGH,3
601,BGI,26
602,BGIO,26
603,BGNE,7
604,BGS,26
605,BGSF,27
606,BGT,3
607,BGX,3
608,BGY,22
609,BH-A,1
610,BHB,27
611,BHC,28
612,BHE,32
613,BHFAL,34
614,BHFAO,33
615,BHFAP,25
616,BHK,6
617,BHLB,15
618,BHP,16
619,BHR,28
620,BHTG,26
621,BHV,26
622,BHVN,8
623,BIBL,24
624,BICK,14
625,BIF,22
626,BIIB,8
627,BIL,33
628,BILI,7
629,BILL,23
630,BIMI,26
631,BIOL,26
632,BIP,3
633,BIPC,33
634,BIS,36
635,BITA,1
636,BIV,29
637,BIZD,37
638,BJ,28
639,BJAN,5
640,BJK,22
641,BJRI,28
642,BJUL,24
643,BK,15
644,BKD,28
645,BKE,28
646,BKEP,26
647,BKEPP,26
648,BKF,14
649,BKH,12
650,BKHY,33
651,BKI,7
652,BKIE,33
653,BKK,6
654,BKLC,33
655,BKLN,16
656,BKN,9
657,BKNG,16
658,BKR,13
659,BKSB,19
660,BKSC,26
661,BKSE,33
662,BKT,6
663,BKTI,1
664,BKU,15
665,BKYI,26
666,BLBD,32
667,BLCM,1
668,BLCN,22
669,BLD,37
670,BLDR,37
671,BLE,9
672,BLES,22
673,BLFS,1
674,BLHY,3
675,BLIN,1
676,BLL,35
677,BLNK,1
678,BLPH,1
679,BLU,1
680,BLUE,8
681,BLX,27
682,BMA,31
683,BMAR,23
684,BMAY,33
685,BMCH,37
686,BME,3
687,BMI,32
688,BMLP,19
689,BMO,16
690,BMRA,26
691,BMRG,33
692,BMRN,8
693,BMTC,15
694,BMY,35
695,BNDC,29
696,BNDW,10
697,BNDX,10
698,BNED,28
699,BNGO,1
700,BNKD,0
701,BNKO,33
702,BNKU,5
703,BNO,4
704,BNOV,23
705,BNR,33
706,BNS,16
707,BNSO,26
708,BNTC,26
709,BNTX,23
710,BNY,6
711,BOCH,15
712,BOCT,24
713,BOE,22
714,BOIL,1
715,BOKF,15
716,BOKFL,34
717,BOMN,27
718,BOND,29
719,BOOT,28
720,BOSC,26
721,BOSS,24
722,BOTJ,26
723,BOTZ,22
724,BOUT,24
725,BOXL,1
726,BP,13
727,BPFH,15
728,BPMC,8
729,BPMP,18
730,BPOP,15
731,BPOPN,26
732,BPRN,27
733,BPT,1
734,BPTH,1
735,BPYPN,23
736,BPYPO,20
737,BPYPP,25
738,BPYU,20
739,BPYUP,23
740,BQH,6
741,BRBR,23
742,BRBS,23
743,BRC,32
744,BREW,28
745,BRF,31
746,BRFS,31
747,BRG,17
748,BRID,26
749,BRKL,15
750,BRKR,35
751,BRKS,32
752,BRLIU,33
753,BRMK,23
754,BRN,26
755,BRO,35
756,BROG,20
757,BRP,23
758,BRPA,33
759,BRPAR,33
760,BRPAU,33
761,BRY,13
762,BRZU,31
763,BSA,34
764,BSBE,19
765,BSBR,31
766,BSCL,29
767,BSCM,29
768,BSCN,29
769,BSCO,29
770,BSCP,29
771,BSCQ,29
772,BSCS,29
773,BSCT,0
774,BSD,9
775,BSE,6
776,BSEP,23
777,BSET,27
778,BSGM,1
779,BSIG,32
780,BSJK,16
781,BSJL,16
782,BSJM,16
783,BSJN,16
784,BSJO,16
785,BSJP,16
786,BSJR,23
787,BSL,3
788,BSML,33
789,BSMM,0
790,BSMO,0
791,BSMP,0
792,BSMR,33
793,BSMS,33
794,BSMT,33
795,BSMX,16
796,BSQR,26
797,BSRR,15
798,BST,24
799,BSTC,8
800,BSV,29
801,BSVN,27
802,BSX,35
803,BTA,9
804,BTAI,7
805,BTEC,8
806,BTI,16
807,BTN,26
808,BTO,15
809,BTT,6
810,BTU,28
811,BTYS,33
812,BTZ,3
813,BUD,16
814,BUG,23
815,BUL,5
816,BURL,28
817,BUSE,15
818,BUY,5
819,BUYZ,33
820,BV,28
821,BVN,21
822,BVXV,1
823,BW,1
824,BWA,32
825,BWFG,27
826,BWG,3
827,BWL-A,19
828,BWMX,33
829,BWX,21
830,BWXT,32
